eps,n_hits,tau_first,tau_median,tau_max,p_hat,clustering
0.01,0,,,,,
1.0,0,,,,,
10.0,0,,,,,
100.0,0,,,,,
400.0,51,5.0,21.0,43.0,0.04623753399818677,1.4063567595670936
