eps,n_hits,N_tau_median,N_tau_min,N_tau_max,F_minus,F_plus,Delta_F
0.01,0,,,,0.0057142068538454755,0.9194265082015154,0.9137123013476699
1.0,1,7.0,7.0,7.0,0.005717105299800754,0.9194596691864054,0.9137425638866047
10.0,51,108.0,82.0,123.0,0.012782880579017164,1.0,0.9872171194209829
100.0,51,179.0,178.0,180.0,0.22232772026168132,1.0,0.7776722797383187
400.0,51,180.0,180.0,180.0,,,
