eps,beta1_r0.5,beta1_r1.0,beta1_r2.0,beta1_r5.0,beta1_r10.0,beta1_r20.0
0.01,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.5047619047619047,1.0,1.0,1.0,1.0,1.0
10.0,0.008695652173913044,0.008695652173913044,0.008695652173913044,0.2642857142857143,0.9928571428571429,1.0
100.0,0.007605552342394448,0.007605552342394448,0.007605552342394448,0.007605552342394448,0.007605552342394448,0.007605552342394448
400.0,0.005649717514124294,0.005649717514124294,0.005649717514124294,0.005649717514124294,0.005649717514124294,0.005649717514124294
