eps,n_hits,N_tau_median,N_tau_min,N_tau_max,F_minus,F_plus,Delta_F
0.01,3,99.0,95,119,0.0058414260335760484,0.9189911051013182,0.9131496790677421
1.0,3,109.0,105,131,0.005689380342995401,0.9224113344290876,0.9167219540860922
10.0,3,115.0,111,140,0.0055925852085875315,0.9246169438351456,0.9190243586265581
100.0,4,131.5,54,156,0.005494605502463768,0.9237196801226296,0.9182250746201659
400.0,51,177.0,176,179,0.2594699060271079,1.0,0.740530093972892
