run,tau,tau_out,hit,hit_out,n_at_risk,G2G3_rate,G4_rate,G5_rate,Ghat_rate,gamma0_mean,any_G4,any_Ghat,any_gamma0_pos,tau_G2G3_first,tau_G4_first,tau_G5_first,tau_Ghat_first,tau_G2G3_stable,tau_G4_stable,tau_G5_stable,tau_Ghat_stable,T_conc_5,T_conc_10,T_conc_20,delta_5,delta_10,delta_20,phase1_duration,phase2_duration,phase_ratio,Twit
0,inf,20.0,False,True,2164,0.0,0.9907578558225508,0.20933456561922367,0.0,0.0,True,False,False,inf,20.0,0.0,inf,inf,20.0,inf,inf,inf,inf,inf,,,,,,,inf
1,inf,32.0,False,True,2164,0.0,0.9852125693160814,0.14741219963031424,0.0,0.0,True,False,False,inf,32.0,0.0,inf,inf,32.0,inf,inf,inf,inf,inf,,,,,,,inf
2,inf,42.0,False,True,2164,0.0,0.9805914972273567,0.14972273567467653,0.0,0.0,True,False,False,inf,42.0,0.0,inf,inf,42.0,inf,inf,inf,inf,inf,,,,,,,inf
3,inf,27.0,False,True,2164,0.0,0.9875231053604436,0.22643253234750463,0.0,0.0,True,False,False,inf,27.0,0.0,inf,inf,27.0,inf,inf,inf,inf,inf,,,,,,,inf
4,inf,13.0,False,True,2164,0.0,0.993992606284658,0.17698706099815156,0.0,0.0,True,False,False,inf,13.0,0.0,inf,inf,13.0,inf,inf,inf,inf,inf,,,,,,,inf
5,inf,24.0,False,True,2164,0.0,0.988909426987061,0.12338262476894639,0.0,0.0,True,False,False,inf,24.0,0.0,inf,inf,24.0,inf,inf,inf,inf,inf,,,,,,,inf
6,inf,5.0,False,True,2164,0.0,0.9976894639556377,0.1977818853974122,0.0,0.0,True,False,False,inf,5.0,0.0,inf,inf,5.0,inf,inf,inf,inf,inf,,,,,,,inf
7,inf,21.0,False,True,2164,0.0,0.9902957486136784,0.16728280961182995,0.0,0.0,True,False,False,inf,21.0,0.0,inf,inf,21.0,inf,inf,inf,inf,inf,,,,,,,inf
8,inf,28.0,False,True,2164,0.0,0.9870609981515711,0.19916820702402957,0.0,0.0,True,False,False,inf,28.0,0.0,inf,inf,28.0,inf,inf,inf,inf,inf,,,,,,,inf
9,inf,32.0,False,True,2164,0.0,0.9852125693160814,0.18484288354898337,0.0,0.0,True,False,False,inf,32.0,0.0,inf,inf,32.0,inf,inf,inf,inf,inf,,,,,,,inf
10,inf,24.0,False,True,2164,0.0,0.988909426987061,0.19269870609981515,0.0,0.0,True,False,False,inf,24.0,0.0,inf,inf,24.0,inf,inf,inf,inf,inf,,,,,,,inf
11,inf,24.0,False,True,2164,0.0,0.988909426987061,0.13632162661737524,0.0,0.0,True,False,False,inf,24.0,0.0,inf,inf,24.0,inf,inf,inf,inf,inf,,,,,,,inf
12,inf,13.0,False,True,2164,0.0,0.993992606284658,0.17606284658040666,0.0,0.0,True,False,False,inf,13.0,0.0,inf,inf,13.0,inf,inf,inf,inf,inf,,,,,,,inf
13,inf,16.0,False,True,2164,0.0,0.9926062846580407,0.150184842883549,0.0,0.0,True,False,False,inf,16.0,0.0,inf,inf,16.0,inf,inf,inf,inf,inf,,,,,,,inf
14,inf,23.0,False,True,2164,0.0,0.9893715341959335,0.17375231053604437,0.0,0.0,True,False,False,inf,23.0,0.0,inf,inf,23.0,inf,inf,inf,inf,inf,,,,,,,inf
15,inf,33.0,False,True,2164,0.0,0.9847504621072088,0.06700554528650647,0.0,0.0,True,False,False,inf,33.0,0.0,inf,inf,33.0,inf,inf,inf,inf,inf,,,,,,,inf
16,inf,8.0,False,True,2164,0.0,0.9963031423290203,0.20147874306839186,0.0,0.0,True,False,False,inf,8.0,0.0,inf,inf,8.0,inf,inf,inf,inf,inf,,,,,,,inf
