run,tau,tau_out,hit,hit_out,n_at_risk,G2G3_rate,G4_rate,G5_rate,Ghat_rate,gamma0_mean,any_G4,any_Ghat,any_gamma0_pos,tau_G2G3_first,tau_G4_first,tau_G5_first,tau_Ghat_first,tau_G2G3_stable,tau_G4_stable,tau_G5_stable,tau_Ghat_stable,T_conc_5,T_conc_10,T_conc_20,delta_5,delta_10,delta_20,phase1_duration,phase2_duration,phase_ratio,Twit
0,19.0,0.0,True,True,19,0.0,1.0,1.0,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,0.0,inf,inf,inf,inf,,,,,,,inf
1,21.0,1.0,True,True,21,0.0,0.9523809523809523,1.0,0.0,0.0,True,False,False,inf,1.0,0.0,inf,inf,1.0,0.0,inf,inf,inf,inf,,,,,,,inf
2,24.0,0.0,True,True,24,0.0,1.0,1.0,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,0.0,inf,inf,inf,inf,,,,,,,inf
3,19.0,0.0,True,True,19,0.0,1.0,1.0,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,0.0,inf,inf,inf,inf,,,,,,,inf
4,21.0,0.0,True,True,21,0.0,1.0,1.0,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,0.0,inf,inf,inf,inf,,,,,,,inf
5,16.0,0.0,True,True,16,0.0,1.0,1.0,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,0.0,inf,inf,inf,inf,,,,,,,inf
6,23.0,1.0,True,True,23,0.0,0.9565217391304348,1.0,0.0,0.0,True,False,False,inf,1.0,0.0,inf,inf,1.0,0.0,inf,inf,inf,inf,,,,,,,inf
7,12.0,0.0,True,True,12,0.0,1.0,1.0,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,0.0,inf,inf,inf,inf,,,,,,,inf
8,15.0,0.0,True,True,15,0.0,1.0,1.0,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,0.0,inf,inf,inf,inf,,,,,,,inf
9,21.0,0.0,True,True,21,0.0,1.0,1.0,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,0.0,inf,inf,inf,inf,,,,,,,inf
10,20.0,0.0,True,True,20,0.0,1.0,1.0,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,0.0,inf,inf,inf,inf,,,,,,,inf
11,17.0,1.0,True,True,17,0.0,0.9411764705882353,1.0,0.0,0.0,True,False,False,inf,1.0,0.0,inf,inf,1.0,0.0,inf,inf,inf,inf,,,,,,,inf
12,21.0,1.0,True,True,21,0.0,0.9523809523809523,1.0,0.0,0.0,True,False,False,inf,1.0,0.0,inf,inf,1.0,0.0,inf,inf,inf,inf,,,,,,,inf
13,15.0,0.0,True,True,15,0.0,1.0,1.0,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,0.0,inf,inf,inf,inf,,,,,,,inf
14,22.0,0.0,True,True,22,0.0,1.0,1.0,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,0.0,inf,inf,inf,inf,,,,,,,inf
