eps,n_hits,N_tau_median,N_tau_min,N_tau_max,F_minus,F_plus,Delta_F
0.01,51,137.0,131,141,0.12133927201534012,0.7932001562571863,0.6718608842418462
1.0,51,145.0,140,151,0.12051963072821843,0.8290215059118903,0.7085018751836718
10.0,51,150.0,145,154,0.12129929470371582,0.8598676730738521,0.7385683783701363
100.0,51,155.0,150,160,0.1229919209215785,0.9041131350095882,0.7811212140880097
400.0,51,159.0,154,164,0.12327290311508908,0.9483609296172434,0.8250880265021543
