eps,beta1_r0.5,beta1_r1.0,beta1_r2.0,beta1_r5.0,beta1_r10.0,beta1_r20.0
0.01,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.006896551724137931,0.0136986301369863,0.5205479452054794,1.0,1.0,1.0
10.0,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.17567567567567569,0.9797297297297297,1.0
100.0,0.0064516129032258064,0.0064516129032258064,0.0064516129032258064,0.0064516129032258064,0.013157894736842105,0.5328947368421053
400.0,0.006289308176100629,0.006289308176100629,0.006289308176100629,0.006289308176100629,0.006289308176100629,0.018867924528301886
