run,tau,tau_out,hit,hit_out,n_at_risk,G2G3_rate,G4_rate,G5_rate,Ghat_rate,gamma0_mean,any_G4,any_Ghat,any_gamma0_pos,tau_G2G3_first,tau_G4_first,tau_G5_first,tau_Ghat_first,tau_G2G3_stable,tau_G4_stable,tau_G5_stable,tau_Ghat_stable,T_conc_5,T_conc_10,T_conc_20,delta_5,delta_10,delta_20,phase1_duration,phase2_duration,phase_ratio,Twit
0,112.0,92.0,True,True,112,0.0,0.17857142857142858,1.0,0.0,0.0,True,False,False,552.0,92.0,0.0,552.0,inf,92.0,0.0,inf,566.0,566.0,566.0,-454.0,-454.0,-454.0,,,,566.0
1,116.0,97.0,True,True,116,0.0,0.16379310344827586,1.0,0.0,0.0,True,False,False,631.0,97.0,0.0,631.0,inf,97.0,0.0,inf,631.0,631.0,631.0,-515.0,-515.0,-515.0,,,,754.0
2,107.0,93.0,True,True,107,0.0,0.1308411214953271,1.0,0.0,0.0,True,False,False,651.0,93.0,0.0,651.0,inf,93.0,0.0,inf,657.0,657.0,673.0,-550.0,-550.0,-566.0,,,,704.0
3,114.0,95.0,True,True,114,0.0,0.16666666666666666,1.0,0.0,0.0,True,False,False,598.0,95.0,0.0,598.0,inf,95.0,0.0,inf,598.0,608.0,703.0,-484.0,-494.0,-589.0,,,,703.0
4,115.0,89.0,True,True,115,0.0,0.22608695652173913,1.0,0.0,0.0,True,False,False,552.0,89.0,0.0,552.0,inf,89.0,0.0,inf,593.0,615.0,639.0,-478.0,-500.0,-524.0,,,,639.0
5,110.0,93.0,True,True,110,0.0,0.15454545454545454,1.0,0.0,0.0,True,False,False,inf,93.0,0.0,inf,inf,93.0,0.0,inf,inf,inf,inf,,,,,,,inf
6,112.0,80.0,True,True,112,0.0,0.2857142857142857,1.0,0.0,0.0,True,False,False,inf,80.0,0.0,inf,inf,80.0,0.0,inf,inf,inf,inf,,,,,,,inf
7,125.0,95.0,True,True,125,0.0,0.24,1.0,0.0,0.0,True,False,False,606.0,95.0,0.0,606.0,inf,95.0,0.0,inf,625.0,625.0,625.0,-500.0,-500.0,-500.0,,,,671.0
8,115.0,97.0,True,True,115,0.0,0.1565217391304348,1.0,0.0,0.0,True,False,False,676.0,97.0,0.0,676.0,inf,97.0,0.0,inf,676.0,716.0,753.0,-561.0,-601.0,-638.0,,,,753.0
9,111.0,90.0,True,True,111,0.0,0.1891891891891892,1.0,0.0,0.0,True,False,False,669.0,90.0,0.0,669.0,inf,90.0,0.0,inf,674.0,708.0,708.0,-563.0,-597.0,-597.0,,,,708.0
10,124.0,87.0,True,True,124,0.0,0.29838709677419356,1.0,0.0,0.0,True,False,False,516.0,87.0,0.0,516.0,inf,87.0,0.0,inf,516.0,516.0,516.0,-392.0,-392.0,-392.0,,,,638.0
11,109.0,89.0,True,True,109,0.0,0.1834862385321101,1.0,0.0,0.0,True,False,False,599.0,89.0,0.0,599.0,inf,89.0,0.0,inf,599.0,691.0,714.0,-490.0,-582.0,-605.0,,,,714.0
12,104.0,90.0,True,True,104,0.0,0.1346153846153846,1.0,0.0,0.0,True,False,False,609.0,90.0,0.0,609.0,inf,90.0,0.0,inf,622.0,750.0,750.0,-518.0,-646.0,-646.0,,,,806.0
13,110.0,98.0,True,True,110,0.0,0.10909090909090909,1.0,0.0,0.0,True,False,False,676.0,98.0,0.0,676.0,inf,98.0,0.0,inf,676.0,676.0,726.0,-566.0,-566.0,-616.0,,,,726.0
14,109.0,99.0,True,True,109,0.0,0.09174311926605505,1.0,0.0,0.0,True,False,False,567.0,99.0,0.0,567.0,inf,99.0,0.0,inf,567.0,567.0,567.0,-458.0,-458.0,-458.0,,,,663.0
15,109.0,91.0,True,True,109,0.0,0.1651376146788991,1.0,0.0,0.0,True,False,False,472.0,91.0,0.0,472.0,inf,91.0,0.0,inf,472.0,472.0,472.0,-363.0,-363.0,-363.0,,,,695.0
16,114.0,95.0,True,True,114,0.0,0.16666666666666666,1.0,0.0,0.0,True,False,False,603.0,95.0,0.0,603.0,inf,95.0,0.0,inf,603.0,603.0,603.0,-489.0,-489.0,-489.0,,,,735.0
17,112.0,96.0,True,True,112,0.0,0.14285714285714285,1.0,0.0,0.0,True,False,False,923.0,96.0,0.0,inf,inf,96.0,0.0,inf,923.0,923.0,923.0,-811.0,-811.0,-811.0,,,,inf
18,114.0,97.0,True,True,114,0.0,0.14912280701754385,1.0,0.0,0.0,True,False,False,666.0,97.0,0.0,666.0,inf,97.0,0.0,inf,666.0,677.0,677.0,-552.0,-563.0,-563.0,,,,726.0
19,110.0,91.0,True,True,110,0.0,0.17272727272727273,1.0,0.0,0.0,True,False,False,530.0,91.0,0.0,530.0,inf,91.0,0.0,inf,549.0,555.0,555.0,-439.0,-445.0,-445.0,,,,748.0
20,109.0,84.0,True,True,109,0.0,0.22935779816513763,1.0,0.0,0.0,True,False,False,515.0,84.0,0.0,515.0,inf,84.0,0.0,inf,697.0,706.0,706.0,-588.0,-597.0,-597.0,,,,729.0
21,109.0,95.0,True,True,109,0.0,0.12844036697247707,1.0,0.0,0.0,True,False,False,523.0,95.0,0.0,523.0,inf,95.0,0.0,inf,617.0,617.0,653.0,-508.0,-508.0,-544.0,,,,653.0
22,119.0,93.0,True,True,119,0.0,0.2184873949579832,1.0,0.0,0.0,True,False,False,566.0,93.0,0.0,566.0,inf,93.0,0.0,inf,589.0,589.0,650.0,-470.0,-470.0,-531.0,,,,650.0
23,118.0,98.0,True,True,118,0.0,0.1694915254237288,1.0,0.0,0.0,True,False,False,595.0,98.0,0.0,595.0,inf,98.0,0.0,inf,595.0,645.0,674.0,-477.0,-527.0,-556.0,,,,674.0
24,111.0,93.0,True,True,111,0.0,0.16216216216216217,1.0,0.0,0.0,True,False,False,608.0,93.0,0.0,608.0,inf,93.0,0.0,inf,608.0,649.0,667.0,-497.0,-538.0,-556.0,,,,667.0
25,110.0,93.0,True,True,110,0.0,0.15454545454545454,1.0,0.0,0.0,True,False,False,650.0,93.0,0.0,650.0,inf,93.0,0.0,inf,650.0,650.0,inf,-540.0,-540.0,,,,,inf
26,118.0,95.0,True,True,118,0.0,0.19491525423728814,1.0,0.0,0.0,True,False,False,557.0,95.0,0.0,557.0,inf,95.0,0.0,inf,557.0,557.0,572.0,-439.0,-439.0,-454.0,,,,572.0
27,117.0,92.0,True,True,117,0.0,0.21367521367521367,1.0,0.0,0.0,True,False,False,498.0,92.0,0.0,498.0,inf,92.0,0.0,inf,498.0,498.0,498.0,-381.0,-381.0,-381.0,,,,718.0
28,108.0,90.0,True,True,108,0.0,0.16666666666666666,1.0,0.0,0.0,True,False,False,551.0,90.0,0.0,551.0,inf,90.0,0.0,inf,551.0,551.0,594.0,-443.0,-443.0,-486.0,,,,660.0
29,98.0,89.0,True,True,98,0.0,0.09183673469387756,1.0,0.0,0.0,True,False,False,801.0,89.0,0.0,801.0,inf,89.0,0.0,inf,805.0,827.0,827.0,-707.0,-729.0,-729.0,,,,827.0
30,111.0,91.0,True,True,111,0.0,0.18018018018018017,1.0,0.0,0.0,True,False,False,608.0,91.0,0.0,608.0,inf,91.0,0.0,inf,608.0,712.0,712.0,-497.0,-601.0,-601.0,,,,712.0
31,111.0,93.0,True,True,111,0.0,0.16216216216216217,1.0,0.0,0.0,True,False,False,626.0,93.0,0.0,626.0,inf,93.0,0.0,inf,626.0,672.0,672.0,-515.0,-561.0,-561.0,,,,672.0
32,110.0,92.0,True,True,110,0.0,0.16363636363636364,1.0,0.0,0.0,True,False,False,446.0,92.0,0.0,446.0,inf,92.0,0.0,inf,446.0,729.0,758.0,-336.0,-619.0,-648.0,,,,758.0
33,109.0,90.0,True,True,109,0.0,0.1743119266055046,1.0,0.0,0.0,True,False,False,637.0,90.0,0.0,637.0,inf,90.0,0.0,inf,637.0,637.0,637.0,-528.0,-528.0,-528.0,,,,781.0
34,116.0,95.0,True,True,116,0.0,0.1810344827586207,1.0,0.0,0.0,True,False,False,693.0,95.0,0.0,693.0,inf,95.0,0.0,inf,703.0,715.0,730.0,-587.0,-599.0,-614.0,,,,730.0
35,119.0,96.0,True,True,119,0.0,0.19327731092436976,1.0,0.0,0.0,True,False,False,inf,96.0,0.0,inf,inf,96.0,0.0,inf,inf,inf,inf,,,,,,,inf
36,117.0,95.0,True,True,117,0.0,0.18803418803418803,1.0,0.0,0.0,True,False,False,705.0,95.0,0.0,705.0,inf,95.0,0.0,inf,705.0,769.0,811.0,-588.0,-652.0,-694.0,,,,811.0
