function,dim,runs,N_init,N_min,best_mean,best_median,best_std,best_min,best_max,error_mean,error_median,final_pop_mean,final_pop_min,final_pop_max,wall_total
cec2017_f1,50,51,900.0,4,100.00000000000004,100.00000000000004,1.908661991037807e-14,100.00000000000001,100.00000000000011,4.653358308703401e-14,4.263256414560601e-14,4.0,4,4,38417.04166103806
cec2017_f2,50,51,900.0,4,200.00000000000415,200.00000000000054,8.003769519846715e-12,200.00000000000003,200.00000000003243,4.151241442099597e-12,5.400124791776761e-13,4.0,4,4,38417.04166103806
cec2017_f3,50,51,900.0,4,300.00001719350075,300.0000000393966,9.907820069302717e-05,300.0000000000083,300.0007142871094,1.719350074956631e-05,3.939658199669793e-08,4.0,4,4,38417.04166103806
cec2017_f4,50,51,900.0,4,476.7566792012944,498.72093228166807,49.29847283070557,401.42150361601546,542.3051574440733,76.75667920129439,98.72093228166807,4.0,4,4,38417.04166103806
cec2017_f5,50,51,900.0,4,545.3000087451628,546.2180095802051,6.926025982407143,526.834529466557,564.1236440026987,45.30000874516278,46.21800958020515,4.0,4,4,38417.04166103806
cec2017_f6,50,51,900.0,4,600.0000841339813,600.000000381809,0.0003156524080625204,600.0000000000002,600.0021482317823,8.413398137129073e-05,3.8180894534889376e-07,4.0,4,4,38417.04166103806
cec2017_f7,50,51,900.0,4,791.6952177015825,792.3122658012059,7.4021438890760605,775.2142609437615,806.8998535278574,91.69521770158237,92.31226580120585,4.0,4,4,38417.04166103806
cec2017_f8,50,51,900.0,4,846.6983289614783,845.5433652410554,7.061548277294222,828.671414757991,862.2631507801499,46.69832896147838,45.543365241055426,4.0,4,4,38417.04166103806
cec2017_f9,50,51,900.0,4,900.0,900.0,4.211861855963823e-14,900.0,900.0000000000001,1.5604075765712005e-14,0.0,4.0,4,4,38417.04166103806
cec2017_f10,50,51,900.0,4,5511.438480430745,5510.834704965855,395.53960622925854,4449.5792734257375,6536.242079666748,4511.438480430745,4510.834704965855,4.0,4,4,38417.04166103806
cec2017_f11,50,51,900.0,4,1144.527178478205,1143.0818902440726,9.025215204732843,1128.9502720336075,1174.920479178362,44.52717847820511,43.08189024407261,4.0,4,4,38417.04166103806
cec2017_f12,50,51,900.0,4,9764.87821748674,8660.37372498876,4146.390954297179,5059.331497901892,19841.754632222357,8564.87821748674,7460.37372498876,4.0,4,4,38417.04166103806
cec2017_f13,50,51,900.0,4,1400.759827275586,1405.0212677736445,48.70353486213311,1322.3092604780084,1581.3801926550968,100.75982727558613,105.02126777364447,4.0,4,4,38417.04166103806
cec2017_f14,50,51,900.0,4,1435.400719123429,1435.1422596016937,5.110929516949252,1425.5988079975762,1448.5623527262255,35.40071912342874,35.142259601693695,4.0,4,4,38417.04166103806
cec2017_f15,50,51,900.0,4,1538.7440922451353,1537.7081814724627,8.62331712759224,1516.807557369427,1567.429667473139,38.74409224513514,37.708181472462684,4.0,4,4,38417.04166103806
cec2017_f16,50,51,900.0,4,2151.063138050793,2147.3088616097302,143.2748629641929,1787.5925673511488,2409.4031475839047,551.0631380507931,547.3088616097302,4.0,4,4,38417.04166103806
cec2017_f17,50,51,900.0,4,2049.484972530136,2051.099436625671,93.02730045531173,1821.5108275007506,2263.842939176871,349.484972530136,351.09943662567093,4.0,4,4,38417.04166103806
cec2017_f18,50,51,900.0,4,1841.5823029952692,1839.5142759238536,10.369682190800171,1826.1912958566058,1868.642490961346,41.582302995269075,39.514275923853575,4.0,4,4,38417.04166103806
cec2017_f19,50,51,900.0,4,1932.968918223147,1931.3941469828987,9.398575365031208,1916.4243278043364,1956.9046633627859,32.96891822314724,31.394146982898747,4.0,4,4,38417.04166103806
cec2017_f20,50,51,900.0,4,2240.2153500783847,2226.6184976425066,80.45121966376092,2112.2425370818737,2391.5298468293945,240.21535007838486,226.61849764250655,4.0,4,4,38417.04166103806
cec2017_f21,50,51,900.0,4,2346.9700387698467,2347.3843371281264,8.418212426144283,2329.496219908815,2365.077597115847,246.9700387698468,247.3843371281264,4.0,4,4,38417.04166103806
cec2017_f22,50,51,900.0,4,3741.7569856488412,2493.564365566591,2111.38147436544,2323.2291669331717,7621.177803158126,1541.7569856488417,293.5643655665908,4.0,4,4,38417.04166103806
cec2017_f23,50,51,900.0,4,2768.798692170726,2769.891770637353,7.876571397535798,2747.807475379183,2785.882797776572,468.7986921707267,469.89177063735315,4.0,4,4,38417.04166103806
cec2017_f24,50,51,900.0,4,2932.026419308579,2931.5666554905633,6.8000907284271594,2919.857944374379,2948.6439542653115,532.0264193085794,531.5666554905633,4.0,4,4,38417.04166103806
cec2017_f25,50,51,900.0,4,2980.9911277214087,2980.301734745821,2.716108103306884,2980.2350072388053,2991.8841042965096,480.99112772140876,480.3017347458208,4.0,4,4,38417.04166103806
cec2017_f26,50,51,900.0,4,4057.6857955896417,4055.011031264005,85.90490993051635,3898.231226745804,4224.4087572936805,1457.6857955896419,1455.011031264005,4.0,4,4,38417.04166103806
cec2017_f27,50,51,900.0,4,3230.4418310869546,3230.9628968925235,8.256930432280816,3214.371702068948,3264.1304837498365,530.4418310869544,530.9628968925235,4.0,4,4,38417.04166103806
cec2017_f28,50,51,900.0,4,3266.1865986933058,3258.8486762140665,17.071246413067303,3258.848676214066,3307.694636232094,466.18659869330634,458.8486762140665,4.0,4,4,38417.04166103806
cec2017_f29,50,51,900.0,4,3285.7196994917526,3284.5210213804075,12.818713973484316,3252.9140276994544,3312.665038530823,385.71969949175167,384.52102138040755,4.0,4,4,38417.04166103806
cec2017_f30,50,51,900.0,4,638690.8260657373,618643.2295168448,55835.815918269975,586446.4509462354,816984.2109035358,635690.8260657373,615643.2295168448,4.0,4,4,38417.04166103806
