function,hits,gamma_mean,l2_mean,l3_mean,a_t,p_hat,gap_factor
cec2017_f1,51/51,--,--,--,7.24e-13,6.29e-02,--
cec2017_f2,51/51,--,--,--,7.24e-13,4.15e-02,--
cec2017_f3,51/51,--,--,--,7.24e-13,4.08e-02,--
cec2017_f4,28/51,--,--,--,7.24e-13,2.80e-02,--
cec2017_f5,51/51,--,--,--,7.24e-13,4.04e-02,--
cec2017_f6,51/51,--,--,--,7.24e-13,1.95e-01,--
cec2017_f7,44/51,--,--,--,7.24e-13,3.39e-02,--
cec2017_f8,51/51,--,--,--,7.24e-13,4.11e-02,--
cec2017_f9,51/51,--,--,--,7.24e-13,1.44e-01,--
cec2017_f11,51/51,--,--,--,7.24e-13,4.39e-02,--
cec2017_f13,24/51,--,--,--,7.24e-13,2.53e-02,--
cec2017_f14,51/51,--,--,--,7.24e-13,4.02e-02,--
cec2017_f15,51/51,--,--,--,7.24e-13,4.51e-02,--
cec2017_f18,51/51,--,--,--,7.24e-13,4.44e-02,--
cec2017_f19,51/51,--,--,--,7.24e-13,4.68e-02,--
