function,hits,gamma_mean,l2_mean,l3_mean,a_t,p_hat,gap_factor
cec2017_f1,51/51,--,--,--,7.24e-13,5.76e-02,--
cec2017_f2,51/51,--,--,--,7.24e-13,4.36e-02,--
cec2017_f3,51/51,--,--,--,7.24e-13,3.89e-02,--
cec2017_f4,51/51,--,--,--,7.24e-13,1.61e-01,--
cec2017_f5,51/51,--,--,--,7.24e-13,5.92e-02,--
cec2017_f6,51/51,--,--,--,7.24e-13,1.00e+00,--
cec2017_f7,51/51,--,--,--,7.24e-13,5.16e-02,--
cec2017_f8,51/51,--,--,--,7.24e-13,5.56e-02,--
cec2017_f9,51/51,--,--,--,7.24e-13,1.55e-01,--
cec2017_f11,51/51,--,--,--,7.24e-13,5.56e-02,--
cec2017_f13,51/51,--,--,--,7.24e-13,5.13e-02,--
cec2017_f14,51/51,--,--,--,7.24e-13,8.24e-02,--
cec2017_f15,51/51,--,--,--,7.24e-13,7.42e-02,--
cec2017_f16,5/51,--,--,--,7.24e-13,2.04e-02,--
cec2017_f17,38/51,--,--,--,7.24e-13,3.08e-02,--
cec2017_f18,51/51,--,--,--,7.24e-13,5.05e-02,--
cec2017_f19,51/51,--,--,--,7.24e-13,8.81e-02,--
cec2017_f20,51/51,--,--,--,7.24e-13,4.01e-02,--
cec2017_f21,51/51,--,--,--,7.24e-13,4.20e-02,--
cec2017_f22,31/51,--,--,--,7.24e-13,2.78e-02,--
cec2017_f29,42/51,--,--,--,7.24e-13,3.28e-02,--
