eps,n_hits,N_tau_median,N_tau_min,N_tau_max,F_minus,F_plus,Delta_F
0.01,34,69.0,48,85,0.03112341868988726,1.0,0.9688765813101128
1.0,37,76.0,5,93,0.029227923963459534,1.0,0.9707720760365405
10.0,51,148.0,139,159,0.1522259951093476,1.0,0.8477740048906524
100.0,51,169.0,166,174,0.21056149697036275,1.0,0.7894385030296373
400.0,51,177.0,173,178,0.22382617705673646,1.0,0.7761738229432635
