run,tau,tau_out,hit,hit_out,n_at_risk,G2G3_rate,G4_rate,G5_rate,Ghat_rate,gamma0_mean,any_G4,any_Ghat,any_gamma0_pos,tau_G2G3_first,tau_G4_first,tau_G5_first,tau_Ghat_first,tau_G2G3_stable,tau_G4_stable,tau_G5_stable,tau_Ghat_stable,T_conc_5,T_conc_10,T_conc_20,delta_5,delta_10,delta_20,phase1_duration,phase2_duration,phase_ratio,Twit
0,99.0,83.0,True,True,99,0.0,0.16161616161616163,1.0,0.0,0.0,True,False,False,459.0,83.0,0.0,459.0,inf,83.0,0.0,inf,459.0,459.0,459.0,-360.0,-360.0,-360.0,,,,459.0
1,107.0,87.0,True,True,107,0.0,0.18691588785046728,1.0,0.0,0.0,True,False,False,414.0,87.0,0.0,414.0,inf,87.0,0.0,inf,419.0,419.0,419.0,-312.0,-312.0,-312.0,,,,419.0
2,100.0,90.0,True,True,100,0.0,0.1,1.0,0.0,0.0,True,False,False,437.0,90.0,0.0,437.0,inf,90.0,0.0,inf,437.0,466.0,466.0,-337.0,-366.0,-366.0,,,,466.0
3,108.0,75.0,True,True,108,0.0,0.3055555555555556,1.0,0.0,0.0,True,False,False,457.0,75.0,0.0,457.0,inf,75.0,0.0,inf,457.0,457.0,457.0,-349.0,-349.0,-349.0,,,,457.0
4,102.0,84.0,True,True,102,0.0,0.17647058823529413,1.0,0.0,0.0,True,False,False,347.0,84.0,0.0,347.0,inf,84.0,0.0,inf,353.0,368.0,390.0,-251.0,-266.0,-288.0,,,,390.0
5,100.0,87.0,True,True,100,0.0,0.13,1.0,0.0,0.0,True,False,False,472.0,87.0,0.0,472.0,inf,87.0,0.0,inf,472.0,504.0,519.0,-372.0,-404.0,-419.0,,,,inf
6,106.0,91.0,True,True,106,0.0,0.14150943396226415,1.0,0.0,0.0,True,False,False,444.0,91.0,0.0,444.0,inf,91.0,0.0,inf,444.0,444.0,464.0,-338.0,-338.0,-358.0,,,,464.0
7,106.0,78.0,True,True,106,0.0,0.2641509433962264,1.0,0.0,0.0,True,False,False,414.0,78.0,0.0,414.0,inf,78.0,0.0,inf,414.0,414.0,414.0,-308.0,-308.0,-308.0,,,,414.0
8,111.0,81.0,True,True,111,0.0,0.2702702702702703,1.0,0.0,0.0,True,False,False,443.0,81.0,0.0,443.0,inf,81.0,0.0,inf,450.0,466.0,466.0,-339.0,-355.0,-355.0,,,,466.0
9,104.0,86.0,True,True,104,0.0,0.17307692307692307,1.0,0.0,0.0,True,False,False,395.0,86.0,0.0,395.0,inf,86.0,0.0,inf,399.0,406.0,406.0,-295.0,-302.0,-302.0,,,,406.0
