run,K_1_tau,K_1_K_used,K_1_N,K_1_n_in,K_1_gap_med,K_1_gap_q80,K_1_gap_le_5,K_1_gap_le_10,K_1_r50,K_1_r80,K_1_tight,K_1_beta_r,K_5_tau,K_5_K_used,K_5_N,K_5_n_in,K_5_gap_med,K_5_gap_q80,K_5_gap_le_5,K_5_gap_le_10,K_5_r50,K_5_r80,K_5_tight,K_5_beta_r,K_10pctN_tau,K_10pctN_K_used,K_10pctN_N,K_10pctN_n_in,K_10pctN_gap_med,K_10pctN_gap_q80,K_10pctN_gap_le_5,K_10pctN_gap_le_10,K_10pctN_r50,K_10pctN_r80,K_10pctN_tight,K_10pctN_beta_r,K_25pctN_tau,K_25pctN_K_used,K_25pctN_N,K_25pctN_n_in,K_25pctN_gap_med,K_25pctN_gap_q80,K_25pctN_gap_le_5,K_25pctN_gap_le_10,K_25pctN_r50,K_25pctN_r80,K_25pctN_tight,K_25pctN_beta_r
0,110,1,443,1,7.471562768469994,11.859309716160851,0.2149321266968326,0.6968325791855203,7.1436432117187,8.091414836973414,0.8828670085083381,0.013544018058690745,113,5,440,9,4.361519701629959,6.643909188492557,0.6194895591647331,0.9396751740139211,6.797507121262084,7.700883856795518,0.8826918114423626,0.031818181818181815,116,44,438,45,2.1207603462391944,3.5948294824981533,0.926208651399491,0.9974554707379135,5.090816969126307,5.883905384739686,0.8652105423601291,0.4520547945205479,118,109,436,160,1.2396351539516104,2.5526804990055325,0.9818840579710145,1.0,4.992307532352802,5.772103644028066,0.864902614407824,0.5022935779816514
1,106,1,446,4,5.4487796051352575,8.700270458464752,0.4253393665158371,0.8552036199095022,6.595915423080329,7.592671812281318,0.8687212599405767,0.03811659192825112,107,5,445,8,4.445828098256811,6.956082869642273,0.5652173913043478,0.9290617848970252,6.376300559340933,7.323124779444337,0.8707076215932994,0.0898876404494382,110,45,443,51,2.292755866325024,3.8654973246101463,0.9158163265306123,0.9948979591836735,5.272638123174053,6.145928735632872,0.8579074619925784,0.37697516930022573,112,111,441,144,1.3020693391947589,2.3858263043430497,0.9932659932659933,1.0,5.117679937994612,5.846626099379283,0.8753219123312741,0.4467120181405896
2,109,1,444,1,5.566747054016787,7.947840512561471,0.4108352144469526,0.9164785553047404,6.809284291259555,7.7703461666901745,0.8763167232432336,0.02702702702702703,111,5,442,5,4.0301235939338085,5.891983135949976,0.6864988558352403,0.9794050343249427,6.31502668262322,7.288767226768261,0.8664053174082794,0.07013574660633484,114,44,440,64,2.3979468205496346,3.8181339296068018,0.9148936170212766,1.0,5.487277612393893,6.400630340312807,0.8573026906168311,0.25681818181818183,116,110,438,163,1.3377293225405538,2.425647289989547,0.9890909090909091,1.0,4.945638594106898,5.731690489121785,0.8628586284436083,0.5205479452054794
3,111,1,442,3,6.296827715349423,9.237432005968595,0.33712984054669703,0.8451025056947609,6.840195823583414,7.704045741265358,0.8878706141300687,0.04524886877828054,113,5,440,11,4.262995206677829,6.51151598649708,0.6130536130536131,0.972027972027972,6.431576205843955,7.234484134290085,0.8890165610232665,0.05454545454545454,116,44,438,65,2.1693060806426274,3.8015298817596888,0.9088471849865952,1.0,5.41724525100883,6.236750256942592,0.8686006378046788,0.3105022831050228,117,110,437,119,1.6807010661713662,3.0530016593235367,0.9465408805031447,1.0,5.262970802960795,6.093637914439988,0.8636828897380372,0.391304347826087
4,110,1,443,1,5.789242033889025,8.61519263290943,0.38687782805429866,0.8755656108597285,6.587183425584222,7.709338233177927,0.8544421358029931,0.040632054176072234,111,5,442,6,4.904095699733091,7.648871593011677,0.5091743119266054,0.9220183486238532,6.346650292555722,7.33900675598711,0.864783274300459,0.06561085972850679,115,44,439,53,2.251008573819547,4.015512972970896,0.917098445595855,0.9974093264248705,5.223332756819637,6.0149169481688105,0.8683964885682812,0.39635535307517084,117,110,437,133,1.3530914661252496,2.831241993765661,0.9703947368421053,1.0,4.392852913740944,5.189588724690316,0.8464741903036032,0.7254004576659039
5,107,1,445,1,8.31041259261383,12.887906636663455,0.18468468468468469,0.6486486486486487,7.61377972375637,8.619638967643603,0.8833061050859523,0.006741573033707865,111,5,442,10,3.987980283188506,6.16806451429286,0.6689814814814815,0.9560185185185185,5.749964883077979,6.541350516222694,0.8790180053519435,0.17873303167420815,114,44,440,73,2.1684476422614125,3.629682680103997,0.8991825613079019,0.9945504087193461,5.056661355666067,5.787422526688596,0.8737328806299114,0.47954545454545455,115,110,439,113,1.5860682702705162,2.838119308302794,0.9570552147239264,1.0,5.266538018765113,6.0024047149614645,0.8774046850985995,0.3804100227790433
6,105,1,447,1,8.709910780875589,13.84912464518527,0.1905829596412556,0.6098654708520179,7.751325302995205,8.905151675051819,0.8704315867758761,0.0022371364653243847,108,5,444,5,4.829540526993696,7.517637643339913,0.5239179954441914,0.9225512528473804,6.587019695486191,7.698247984392227,0.8556517936082353,0.04279279279279279,112,45,441,48,2.0891947957675256,3.4994003338231097,0.9491094147582697,0.9974554707379135,5.509963628406369,6.107901035432268,0.902104273864748,0.2766439909297052,114,110,440,157,1.1928386792419587,2.412444212098967,0.9858657243816255,1.0,4.52378591658673,5.127535807145092,0.8822534033371251,0.7454545454545455
7,104,1,448,1,10.796738520525196,16.739890086157722,0.06040268456375839,0.43847874720357943,8.144417179152068,9.208213097940313,0.8844731428917307,0.004464285714285714,108,5,444,5,5.365207719527916,8.243843971467754,0.4601366742596811,0.8701594533029613,6.604512822903798,7.483208860516017,0.8825776409571405,0.04279279279279279,112,45,441,67,2.234983893469064,3.852742772201532,0.8850267379679144,0.9973262032085561,5.569745186793939,6.474339912588288,0.8602800072273756,0.29705215419501135,114,110,440,168,1.4656747682107039,2.408237544675695,0.9926470588235294,1.0,4.819637003599807,5.547449041049253,0.8688023933047636,0.6068181818181818
8,111,1,442,3,7.063794615944971,10.149713526232246,0.2460136674259681,0.7813211845102506,7.325903051667792,8.308538712256768,0.8817318309970211,0.011312217194570135,113,5,440,5,5.091366183997934,7.514686891155293,0.4735632183908046,0.9241379310344827,6.357798642303605,7.269617357798858,0.8745712916351708,0.075,117,44,437,78,2.027813720311997,3.438709051325168,0.9303621169916435,1.0,5.290292645470405,6.0727603033807025,0.8711512362056019,0.36155606407322655,118,109,436,134,1.5172849388350187,2.9416592270719777,0.9403973509933775,1.0,4.653703802668522,5.3021398226677485,0.8777029573556269,0.6903669724770642
9,107,1,445,1,5.159765703505514,8.209949342166443,0.46621621621621623,0.9009009009009009,6.411801644365113,7.434989347544308,0.8623820888839414,0.06741573033707865,108,5,444,6,4.440981068627309,6.4181228895626194,0.6073059360730594,0.9383561643835616,6.22654780581742,7.118943935808781,0.8746448717621518,0.0945945945945946,111,45,442,50,2.270506395552161,3.977780216137717,0.8979591836734694,0.9948979591836735,5.135063101477069,5.858774928664627,0.876473864246478,0.43891402714932126,113,110,440,138,1.4222421191429362,2.632317130778893,0.9933774834437086,1.0,4.621368799079876,5.261787204266402,0.8782888056234474,0.7
