function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,10,0.01,51,51,1.0,226,243,263
cec2017_f11,10,0.01,51,34,0.6666666666666666,427,547,756
cec2017_f22,10,0.01,51,2,0.0392156862745098,213,222,232
cec2017_f3,10,0.01,51,51,1.0,138,154,181
