function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,10,10.0,51,51,1.0,172,187,210
cec2017_f11,10,10.0,51,51,1.0,72,112,148
cec2017_f22,10,10.0,51,2,0.0392156862745098,133,139,145
cec2017_f3,10,10.0,51,51,1.0,87,103,123
