function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,10,100.0,51,51,1.0,153,170,190
cec2017_f11,10,100.0,51,51,1.0,18,35,46
cec2017_f22,10,100.0,51,18,0.35294117647058826,43,643,743
cec2017_f3,10,100.0,51,51,1.0,66,84,102
