eps,n_hits,N_tau_median,N_tau_min,N_tau_max,F_minus,F_plus,Delta_F
0.01,4,64.0,59,69,0.10892808670015088,0.8805998384541399,0.771671751753989
1.0,25,73.0,62,92,0.1036604390488311,0.8969892494666791,0.793328810417848
10.0,25,91.0,72,108,0.10741997641197028,0.8861169816973514,0.7786970052853811
100.0,30,121.5,99,134,0.1221188586515785,0.8776571842099737,0.7555383255583953
400.0,51,133.0,128,138,0.15855573843014778,0.8882958387805747,0.7297401003504269
