eps,n_hits,tau_first,tau_median,tau_max,p_hat,clustering
0.01,4,541,588.0,631,0.00012498047180128105,0.5682983045575298
1.0,25,380,515.0,603,0.0008846426043878273,0.6325095814044884
10.0,25,291,385.0,517,0.0010775397612171889,0.9057296234716248
100.0,30,167,223.5,339,0.00212781048301298,1.2639968114780658
400.0,51,149,170.0,193,0.005910302468420442,1.3568010505999362
