eps,n_hits,tau_first,tau_median,tau_max,p_hat,clustering
0.01,0,,,,,
1.0,0,,,,,
10.0,0,,,,,
100.0,8,517.0,576.5,654.0,0.00024445395098698285,1.0399346692759532
400.0,51,0.0,0.0,0.0,0.0,0.0
