function,eps,f_star,n_hits,hit_rate,tau_first,tau_median,tau_max,p_hat,clustering,l2_rate,l3_rate,gamma,F_minus,F_plus,Delta_F,F_mean,n_success_F,g2g3_r0.5,beta1_r0.5,g2g3_r1.0,beta1_r1.0,g2g3_r2.0,beta1_r2.0,g2g3_r5.0,beta1_r5.0,g2g3_r10.0,beta1_r10.0,g2g3_r20.0,beta1_r20.0,N_tau_median,N_tau_min,N_tau_max
cec2017_f21,0.01,2100.0,0,0.0,,,,,,0.5681925265485122,0.4406418759740495,0.38196332137291145,0.013721388681041287,0.8460798810625743,0.8323584923815329,0.41187282596120156,468151.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,
cec2017_f21,1.0,2100.0,0,0.0,,,,,,0.5681925265485122,0.4406418759740495,0.38196332137291145,0.013721388681041287,0.8460798810625743,0.8323584923815329,0.41187282596120156,468151.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,
cec2017_f21,10.0,2100.0,0,0.0,,,,,,0.5681925265485122,0.4406418759740495,0.38196332137291145,0.013721388681041287,0.8460798810625743,0.8323584923815329,0.41187282596120156,468151.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,
cec2017_f21,100.0,2100.0,8,0.1568627450980392,517.0,576.5,654.0,0.00024445395098698285,1.0399346692759532,0.5120422708282133,0.36785246170230196,0.30157901204227083,0.013703177226406228,0.8460394090129061,0.8323362317864998,0.41180103522554884,467735.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0,57.0,72.0
cec2017_f21,400.0,2100.0,51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.005555555555555556,180.0,180.0,180.0
