run,tau,tau_out,hit,hit_out,n_at_risk,G2G3_rate,G4_rate,G5_rate,Ghat_rate,gamma0_mean,any_G4,any_Ghat,any_gamma0_pos,tau_G2G3_first,tau_G4_first,tau_G5_first,tau_Ghat_first,tau_G2G3_stable,tau_G4_stable,tau_G5_stable,tau_Ghat_stable,T_conc_5,T_conc_10,T_conc_20,delta_5,delta_10,delta_20,phase1_duration,phase2_duration,phase_ratio,Twit
0,inf,inf,False,False,2164,0.0,0.0,0.11922365988909427,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
1,inf,inf,False,False,2164,0.0,0.0,0.06515711645101664,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
2,inf,inf,False,False,2164,0.0,0.0,0.16774491682070242,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
3,inf,inf,False,False,2164,0.0,0.0,0.0633086876155268,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
4,inf,inf,False,False,2164,0.0,0.0,0.13262476894639558,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
5,inf,inf,False,False,2164,0.0,0.0,0.18345656192236598,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
6,inf,inf,False,False,2164,0.7158040665434381,0.0,1.0,0.0,0.0,False,False,False,614.0,inf,0.0,inf,619.0,inf,0.0,inf,619.0,619.0,619.0,,,,,,,inf
7,inf,inf,False,False,2164,0.0,0.0,0.16404805914972273,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
8,inf,inf,False,False,2164,0.0,0.0,0.13493530499075784,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
9,inf,inf,False,False,2164,0.0,0.0,0.059149722735674676,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
10,inf,inf,False,False,2164,0.0,0.0,0.11136783733826247,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
11,inf,inf,False,False,2164,0.0,0.0,0.18576709796672827,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
12,inf,inf,False,False,2164,0.0,0.0,0.1511090573012939,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
13,inf,inf,False,False,2164,0.0,0.0,0.12846580406654343,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
14,inf,inf,False,False,2164,0.0,0.0,0.13354898336414048,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
15,inf,inf,False,False,2164,0.0,0.0,0.11182994454713494,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
16,inf,inf,False,False,2164,0.0,0.0,0.06977818853974121,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
17,inf,inf,False,False,2164,0.0,0.0,0.2208872458410351,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
18,inf,inf,False,False,2164,0.0,0.0,0.1400184842883549,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
19,inf,inf,False,False,2164,0.0,0.0,0.1455637707948244,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
20,inf,inf,False,False,2164,0.0,0.0,0.0466728280961183,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
21,inf,inf,False,False,2164,0.0,0.0,0.05868761552680222,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
22,inf,inf,False,False,2164,0.0,0.0,0.1400184842883549,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
23,inf,inf,False,False,2164,0.0,0.0,0.05961182994454713,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
24,inf,inf,False,False,2164,0.0,0.0,0.133086876155268,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
25,inf,inf,False,False,2164,0.0,0.0,0.07208872458410351,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
26,inf,inf,False,False,2164,0.0,0.0,0.08595194085027727,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
27,inf,inf,False,False,2164,0.0,0.0,0.045748613678373386,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
28,inf,inf,False,False,2164,0.0,0.0,0.06423290203327171,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
29,inf,inf,False,False,2164,0.0,0.0,0.1756007393715342,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
30,inf,inf,False,False,2164,0.0,0.0,0.16959334565619225,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
31,inf,inf,False,False,2164,0.0,0.0,0.06007393715341959,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
32,inf,inf,False,False,2164,0.0,0.0,0.12014787430683918,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
33,inf,inf,False,False,2164,0.0,0.0,0.11829944547134935,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
