run,tau,tau_out,hit,hit_out,n_at_risk,G2G3_rate,G4_rate,G5_rate,Ghat_rate,gamma0_mean,any_G4,any_Ghat,any_gamma0_pos,tau_G2G3_first,tau_G4_first,tau_G5_first,tau_Ghat_first,tau_G2G3_stable,tau_G4_stable,tau_G5_stable,tau_Ghat_stable,T_conc_5,T_conc_10,T_conc_20,delta_5,delta_10,delta_20,phase1_duration,phase2_duration,phase_ratio,Twit
0,inf,0.0,False,True,2164,0.0,1.0,0.13493530499075784,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
1,573.0,0.0,True,True,573,0.6596858638743456,1.0,1.0,0.6596858638743456,2.242460709220478e-06,True,True,True,195.0,0.0,0.0,195.0,195.0,0.0,0.0,195.0,195.0,195.0,195.0,378.0,378.0,378.0,195.0,378.0,1.9384615384615385,195.0
2,inf,0.0,False,True,2164,0.0,1.0,0.10582255083179297,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
3,inf,0.0,False,True,2164,0.0,1.0,0.17282809611829944,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
4,inf,0.0,False,True,2164,0.0,1.0,0.1423290203327172,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
5,517.0,0.0,True,True,517,0.6963249516441006,1.0,1.0,0.6963249516441006,2.1826906055698096e-06,True,True,True,157.0,0.0,0.0,157.0,157.0,0.0,0.0,157.0,157.0,157.0,157.0,360.0,360.0,360.0,157.0,360.0,2.2929936305732483,157.0
6,inf,0.0,False,True,2164,0.0,1.0,0.1963955637707948,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
7,inf,0.0,False,True,2164,0.8974121996303143,1.0,1.0,0.8974121996303143,1.0753115348906904e-05,True,True,True,222.0,0.0,0.0,222.0,222.0,0.0,0.0,222.0,222.0,222.0,222.0,,,,,,,222.0
8,inf,0.0,False,True,2164,0.0,1.0,0.12060998151571165,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
9,555.0,0.0,True,True,555,0.6378378378378379,1.0,1.0,0.6378378378378379,2.148437989546118e-06,True,True,True,200.0,0.0,0.0,200.0,202.0,0.0,0.0,202.0,202.0,202.0,202.0,353.0,353.0,353.0,202.0,353.0,1.7475247524752475,202.0
10,inf,0.0,False,True,2164,0.7287430683918669,1.0,0.48613678373382624,0.22181146025878004,1.5060097527208484e-06,True,True,True,587.0,0.0,0.0,587.0,587.0,0.0,inf,inf,587.0,587.0,587.0,,,,,,,inf
11,inf,0.0,False,True,2164,0.9121996303142329,1.0,1.0,0.9121996303142329,1.0789809911114674e-05,True,True,True,190.0,0.0,0.0,190.0,190.0,0.0,0.0,190.0,190.0,190.0,190.0,,,,,,,190.0
12,549.0,0.0,True,True,549,0.6757741347905283,1.0,1.0,0.6757741347905283,2.231248304100039e-06,True,True,True,178.0,0.0,0.0,178.0,178.0,0.0,0.0,178.0,178.0,178.0,178.0,371.0,371.0,371.0,178.0,371.0,2.0842696629213484,178.0
13,inf,0.0,False,True,2164,0.9195933456561922,1.0,1.0,0.9195933456561922,1.0807130296051841e-05,True,True,True,172.0,0.0,0.0,172.0,175.0,0.0,0.0,175.0,175.0,175.0,175.0,,,,,,,175.0
14,654.0,0.0,True,True,654,0.573394495412844,1.0,1.0,0.573394495412844,2.2255644727190164e-06,True,True,True,279.0,0.0,0.0,279.0,279.0,0.0,0.0,279.0,279.0,279.0,279.0,375.0,375.0,375.0,279.0,375.0,1.3440860215053763,279.0
15,inf,0.0,False,True,2164,0.8951016635859519,1.0,1.0,0.8951016635859519,1.0741246508866341e-05,True,True,True,227.0,0.0,0.0,227.0,227.0,0.0,0.0,227.0,227.0,227.0,227.0,,,,,,,227.0
16,inf,0.0,False,True,2164,0.0,1.0,0.0466728280961183,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
17,inf,0.0,False,True,2164,0.0,1.0,0.13817005545286506,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
18,inf,0.0,False,True,2164,0.0,1.0,0.1344731977818854,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
19,inf,0.0,False,True,2164,0.0,1.0,0.16266173752310537,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
20,inf,0.0,False,True,2164,0.0,1.0,0.05129390018484288,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
21,inf,0.0,False,True,2164,0.0,1.0,0.14371534195933455,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
22,inf,0.0,False,True,2164,0.0,1.0,0.17190388170055454,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
23,inf,0.0,False,True,2164,0.0,1.0,0.18484288354898337,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
24,inf,0.0,False,True,2164,0.0,1.0,0.19593345656192238,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
25,inf,0.0,False,True,2164,0.0,1.0,0.13031423290203328,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
26,580.0,0.0,True,True,580,0.6620689655172414,1.0,1.0,0.6620689655172414,2.269332329808674e-06,True,True,True,196.0,0.0,0.0,196.0,196.0,0.0,0.0,196.0,196.0,196.0,196.0,384.0,384.0,384.0,196.0,384.0,1.9591836734693877,196.0
27,inf,0.0,False,True,2164,0.0,1.0,0.12476894639556377,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
28,inf,0.0,False,True,2164,0.0,1.0,0.14926062846580407,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
29,inf,0.0,False,True,2164,0.911275415896488,1.0,1.0,0.911275415896488,1.0784483195099496e-05,True,True,True,192.0,0.0,0.0,192.0,192.0,0.0,0.0,192.0,192.0,192.0,192.0,,,,,,,192.0
30,inf,0.0,False,True,2164,0.0,1.0,0.22735674676524953,0.0,0.0,True,False,False,inf,0.0,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,,,,,,,inf
