function,eps,f_star,n_hits,hit_rate,tau_first,tau_median,tau_max,p_hat,clustering,l2_rate,l3_rate,gamma,N_tau_median,N_tau_min,N_tau_max,F_minus,F_plus,Delta_F,F_mean,n_success_F,g2g3_r0.5,beta1_r0.5,g2g3_r1.0,beta1_r1.0,g2g3_r2.0,beta1_r2.0,g2g3_r5.0,beta1_r5.0,g2g3_r10.0,beta1_r10.0,g2g3_r20.0,beta1_r20.0
cec2017_f9,0.01,900.0,51,1.0,134,150.0,165,0.0067061143984220905,1.4020202459419824,0.94543063773833,1.0,0.94543063773833,138.0,134,142,0.16015134982595358,0.823645831594383,0.6634944817684294,0.5114808670070496,261443,1.0,0.9562043795620438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cec2017_f9,1.0,900.0,51,1.0,87,106.0,116,0.009566685424873381,1.827586206896552,0.9221534421309323,1.0,0.9221534421309323,149.0,146,154,0.18782858108447306,0.8718287157886399,0.6840001347041668,0.5383147921149737,169250,0.0,0.006711409395973154,0.0,0.006711409395973154,0.0,0.00684931506849315,1.0,0.6190476190476191,1.0,1.0,1.0,1.0
cec2017_f9,10.0,900.0,51,1.0,60,77.0,90,0.013006885998469778,1.3743685418725535,0.8941596531497067,1.0,0.8941596531497067,157.0,153,162,0.20848121728093968,0.9187019889415539,0.7102207716606141,0.5589132451909866,124130,0.0,0.006369426751592357,0.0,0.006369426751592357,0.0,0.006369426751592357,0.0,0.006369426751592357,0.7254901960784313,0.08227848101265822,1.0,0.8580645161290322
cec2017_f9,100.0,900.0,51,1.0,32,44.0,54,0.022993688007213707,1.3757041773110508,0.8128944995491434,1.0,0.8128944995491434,166.0,163,170,0.23525077373671538,1.0,0.7647492262632847,0.5905596591386288,76742,0.0,0.006024096385542169,0.0,0.006024096385542169,0.0,0.006024096385542169,0.0,0.006024096385542169,0.0,0.006024096385542169,0.0,0.006024096385542169
cec2017_f9,400.0,900.0,51,1.0,7,19.0,33,0.052307692307692305,1.7725720956619866,0.7805128205128206,1.0,0.7805128205128206,174.0,170,177,0.2520135325967995,1.0,0.7479864674032005,0.5978964537702632,46696,0.0,0.005747126436781609,0.0,0.005747126436781609,0.0,0.005747126436781609,0.0,0.005747126436781609,0.0,0.005747126436781609,0.0,0.005747126436781609
