eps,beta1_r0.5,beta1_r1.0,beta1_r2.0,beta1_r5.0,beta1_r10.0,beta1_r20.0
0.01,0.9562043795620438,1.0,1.0,1.0,1.0,1.0
1.0,0.006711409395973154,0.006711409395973154,0.00684931506849315,0.6190476190476191,1.0,1.0
10.0,0.006369426751592357,0.006369426751592357,0.006369426751592357,0.006369426751592357,0.08227848101265822,0.8580645161290322
100.0,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169
400.0,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609
