eps,n_hits,tau_first,tau_median,tau_max,p_hat,clustering
0.01,51,134,150.0,165,0.0067061143984220905,1.4020202459419824
1.0,51,87,106.0,116,0.009566685424873381,1.827586206896552
10.0,51,60,77.0,90,0.013006885998469778,1.3743685418725535
100.0,51,32,44.0,54,0.022993688007213707,1.3757041773110508
400.0,51,7,19.0,33,0.052307692307692305,1.7725720956619866
