eps,n_hits,tau_first,tau_median,tau_max,p_hat,clustering
0.01,51,177,187.0,199,0.005339195979899497,1.2984415324623366
1.0,51,126,139.0,151,0.007152875175315568,1.3416407864998738
10.0,51,41,49.0,57,0.02079086832450061,1.5860721925561898
100.0,51,3,12.0,19,0.0868824531516184,1.9202864369671522
400.0,51,0,4.0,6,0.27717391304347827,2.70801280154532
