run,tau,hit,n_at_risk,G2G3_rate,G4_rate,G5_rate,Ghat_rate,gamma0_mean,Twit
0,inf,False,2164,0.9510166358595195,0.9972273567467652,1.0,0.9510166358595195,1.0771509611600315e-05,106.0
1,inf,False,2164,0.9380776340110906,0.9986136783733827,1.0,0.9380776340110906,1.0675019419776478e-05,134.0
2,inf,False,2164,0.9477818853974121,0.9958410351201479,1.0,0.9477818853974121,1.0770226307868885e-05,113.0
3,inf,False,2164,0.9463955637707948,0.9972273567467652,1.0,0.9463955637707948,1.0666315325007546e-05,116.0
4,inf,False,2164,0.9477818853974121,0.9986136783733827,1.0,0.9477818853974121,1.078193798169753e-05,113.0
5,inf,False,2164,0.9505545286506469,0.9958410351201479,1.0,0.9505545286506469,1.0725125667280625e-05,122.0
6,inf,False,2164,0.9459334565619224,0.9953789279112755,1.0,0.9459334565619224,1.0737006168911557e-05,117.0
7,inf,False,2164,0.9426987060998152,0.9963031423290203,1.0,0.9426987060998152,1.0752120529903083e-05,140.0
8,inf,False,2164,0.9339186691312384,0.9958410351201479,1.0,0.9339186691312384,1.0647320099770137e-05,195.0
9,inf,False,2164,0.9413123844731978,0.9972273567467652,1.0,0.9413123844731978,1.0659937817797755e-05,127.0
10,inf,False,2164,0.9459334565619224,0.9953789279112755,1.0,0.9459334565619224,1.0709915254553989e-05,117.0
11,inf,False,2164,0.9385397412199631,0.9981515711645101,1.0,0.9385397412199631,1.0726473007027266e-05,155.0
12,inf,False,2164,0.9380776340110906,0.9958410351201479,1.0,0.9380776340110906,1.060924468597894e-05,155.0
13,inf,False,2164,0.9524029574861368,0.9953789279112755,1.0,0.9524029574861368,1.0806981198902938e-05,128.0
14,inf,False,2164,0.9510166358595195,0.9967652495378928,1.0,0.9510166358595195,1.0717958287608373e-05,137.0
15,inf,False,2164,0.9560998151571165,0.9958410351201479,1.0,0.9560998151571165,1.0823812489186493e-05,95.0
16,inf,False,2164,0.9353049907578558,0.9976894639556377,1.0,0.9353049907578558,1.0721430525045264e-05,142.0
17,inf,False,2164,0.9491682070240296,0.9981515711645101,1.0,0.9491682070240296,1.0762121611698196e-05,110.0
18,inf,False,2164,0.9413123844731978,1.0,1.0,0.9413123844731978,1.0809067424580504e-05,127.0
19,inf,False,2164,0.9505545286506469,0.9976894639556377,1.0,0.9505545286506469,1.0774963460924049e-05,107.0
20,inf,False,2164,0.9403881700554528,0.9958410351201479,1.0,0.9403881700554528,1.0702837570961464e-05,141.0
21,inf,False,2164,0.9468576709796673,0.9986136783733827,1.0,0.9468576709796673,1.068424693240538e-05,119.0
22,132.0,True,132,0.0,1.0,1.0,0.0,0.0,159.0
23,inf,False,2164,0.9348428835489834,0.9944547134935305,1.0,0.9348428835489834,1.0630003172694226e-05,190.0
24,inf,False,2164,0.9376155268022182,0.9944547134935305,1.0,0.9376155268022182,1.0670690673981623e-05,139.0
25,inf,False,2164,0.9533271719038817,0.9963031423290203,1.0,0.9533271719038817,1.0735494345285113e-05,109.0
26,inf,False,2164,0.944547134935305,0.9976894639556377,1.0,0.944547134935305,1.0621761340591598e-05,120.0
