eps,n_hits,tau_first,tau_median,tau_max,p_hat,clustering
0.01,14,594,743.5,1196,0.0002548605548678366,1.3504053696244587
1.0,50,346,419.0,516,0.0023208317861121426,1.2679438713522195
10.0,50,179,251.0,332,0.003830537041293189,1.066381481804605
100.0,51,90,103.0,118,0.009706889988580129,1.2955969390869324
400.0,51,71,84.0,103,0.011830201809324982,1.6165646445471957
