eps,g2g3_r0.5,g2g3_r1.0,g2g3_r2.0,g2g3_r5.0,g2g3_r10.0,g2g3_r20.0
0.01,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,0.02,0.4,0.96,1.0,1.0
10.0,0.0,0.0,0.0,0.02,0.3,0.92
100.0,0.0,0.0,0.0,0.0,0.0,0.0
400.0,0.0,0.0,0.0,0.0,0.0,0.0
