eps,n_hits,l2_rate,l3_rate,gamma
0.01,21,0.7785941399272874,0.8901078020293637,0.7187139762607517
1.0,51,0.6966486486486486,0.9787027027027027,0.6778378378378378
10.0,51,0.44016597510373445,1.0,0.44016597510373445
100.0,51,0.27306168647425016,1.0,0.27306168647425016
400.0,51,0.36381475667189955,1.0,0.36381475667189955
