function,eps,f_star,n_hits,hit_rate,tau_first,tau_median,tau_max,p_hat,clustering,l2_rate,l3_rate,gamma,N_tau_median,N_tau_min,N_tau_max,F_minus,F_plus,Delta_F,F_mean,n_success_F,g2g3_r0.5,beta1_r0.5,g2g3_r1.0,beta1_r1.0,g2g3_r2.0,beta1_r2.0,g2g3_r5.0,beta1_r5.0,g2g3_r10.0,beta1_r10.0,g2g3_r20.0,beta1_r20.0
cec2017_f15,0.01,1500.0,21,0.4117647058823529,542,629.0,962,0.0004897273850889671,1.1389815238030097,0.7785941399272874,0.8901078020293637,0.7187139762607517,59.0,33,69,0.084462974346992,1.0,0.915537025653008,0.5562631034075338,448159,0.8571428571428571,0.2033898305084746,0.9523809523809523,0.3939393939393939,1.0,0.6875,1.0,0.9696969696969697,1.0,1.0,1.0,1.0
cec2017_f15,1.0,1500.0,51,1.0,223,362.0,558,0.0027567567567567566,2.5583413121684493,0.6966486486486486,0.9787027027027027,0.6778378378378378,95.0,67,121,0.08495174746504001,1.0,0.91504825253496,0.6018568780687429,243561,0.0,0.010526315789473684,0.0,0.010526315789473684,0.0,0.010638297872340425,0.43137254901960786,0.0425531914893617,0.8627450980392157,0.1509433962264151,1.0,0.5869565217391305
cec2017_f15,10.0,1500.0,51,1.0,100,118.0,141,0.008464730290456432,1.23622691682675,0.44016597510373445,1.0,0.44016597510373445,146.0,140,151,0.21960908867897203,1.0,0.780390911321028,0.6490678096903664,182839,0.0,0.00684931506849315,0.0,0.00684931506849315,0.0,0.00684931506849315,0.0,0.00684931506849315,0.0,0.00684931506849315,0.1568627450980392,0.020689655172413793
cec2017_f15,100.0,1500.0,51,1.0,49,70.0,82,0.014431239388794566,1.4409082942992415,0.27306168647425016,1.0,0.27306168647425016,159.0,156,165,0.25295610744908437,1.0,0.7470438925509156,0.6862064601673162,119440,0.0,0.006289308176100629,0.0,0.006289308176100629,0.0,0.006289308176100629,0.0,0.006289308176100629,0.0,0.006289308176100629,0.0,0.006289308176100629
cec2017_f15,400.0,1500.0,51,1.0,31,50.0,61,0.020015698587127158,2.0,0.36381475667189955,1.0,0.36381475667189955,165.0,161,170,0.25291648315636023,1.0,0.7470835168436398,0.6738969916534573,91522,0.0,0.006060606060606061,0.0,0.006060606060606061,0.0,0.006060606060606061,0.0,0.006060606060606061,0.0,0.006060606060606061,0.0,0.006060606060606061
