eps,n_hits,tau_first,tau_median,tau_max,p_hat,clustering
0.01,21,542,629.0,962,0.0004897273850889671,1.1389815238030097
1.0,51,223,362.0,558,0.0027567567567567566,2.5583413121684493
10.0,51,100,118.0,141,0.008464730290456432,1.23622691682675
100.0,51,49,70.0,82,0.014431239388794566,1.4409082942992415
400.0,51,31,50.0,61,0.020015698587127158,2.0
