function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,30,0.01,51,51,1.0,316.0,335.0,348.0
cec2017_f11,30,0.01,51,0,0.0,,,
cec2017_f22,30,0.01,51,0,0.0,,,
cec2017_f3,30,0.01,51,51,1.0,217.0,235.0,269.0
