function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,30,400.0,51,51,1.0,173,240,256
cec2017_f11,30,400.0,51,51,1.0,60,69,80
cec2017_f22,30,400.0,51,51,1.0,49,54,63
cec2017_f3,30,400.0,51,51,1.0,116,132,167
