function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,30,100.0,51,51,1.0,184.0,256.0,271.0
cec2017_f11,30,100.0,51,51,1.0,95.0,176.0,238.0
cec2017_f22,30,100.0,51,0,0.0,,,
cec2017_f3,30,100.0,51,51,1.0,128.0,147.0,182.0
