function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,30,10.0,51,51,1.0,201.0,278.0,290.0
cec2017_f11,30,10.0,51,26,0.5098039215686274,351.0,748.0,2710.0
cec2017_f22,30,10.0,51,0,0.0,,,
cec2017_f3,30,10.0,51,51,1.0,150.0,169.0,206.0
