function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,30,1.0,51,51,1.0,222.0,297.0,310.0
cec2017_f11,30,1.0,51,0,0.0,,,
cec2017_f22,30,1.0,51,0,0.0,,,
cec2017_f3,30,1.0,51,51,1.0,171.0,191.0,227.0
