run,K_1_tau,K_1_K_used,K_1_N,K_1_n_in,K_1_gap_med,K_1_gap_q80,K_1_gap_le_5,K_1_gap_le_10,K_1_r50,K_1_r80,K_1_tight,K_1_beta_r,K_5_tau,K_5_K_used,K_5_N,K_5_n_in,K_5_gap_med,K_5_gap_q80,K_5_gap_le_5,K_5_gap_le_10,K_5_r50,K_5_r80,K_5_tight,K_5_beta_r,K_10pctN_tau,K_10pctN_K_used,K_10pctN_N,K_10pctN_n_in,K_10pctN_gap_med,K_10pctN_gap_q80,K_10pctN_gap_le_5,K_10pctN_gap_le_10,K_10pctN_r50,K_10pctN_r80,K_10pctN_tight,K_10pctN_beta_r,K_25pctN_tau,K_25pctN_K_used,K_25pctN_N,K_25pctN_n_in,K_25pctN_gap_med,K_25pctN_gap_q80,K_25pctN_gap_le_5,K_25pctN_gap_le_10,K_25pctN_r50,K_25pctN_r80,K_25pctN_tight,K_25pctN_beta_r
0,1559,1,33,1,4.659434794538981,6.1200233875590815,0.5625,1.0,25.0288243081643,27.22266141707703,0.9194113655788072,0.030303030303030304,1665.0,5.0,27.0,5.0,4.056127693417693,4.567635976448014,0.8636363636363636,1.0,25.033403731457856,27.25895945174425,0.9183550742563659,0.037037037037037035,1624,3,30,3,4.345987544842615,5.196288707522581,0.7407407407407407,1.0,25.06207083849798,27.315449212827303,0.9175053517600165,0.03333333333333333,1729,6,24,6,3.22930146744676,3.9473150754059136,1.0,1.0,24.102236606237923,26.810597044377094,0.8989817185474731,0.041666666666666664
1,1521,1,36,1,6.095711948240478,7.842854122802124,0.4,0.9428571428571428,24.229475816142227,26.64830510392119,0.909231402209402,0.027777777777777776,1803.0,5.0,21.0,5.0,2.453540349289142,3.2640526847213778,1.0,1.0,23.48688150260695,25.294122026292925,0.9285509684104721,0.047619047619047616,1770,3,23,3,2.5427067350608468,3.6679097796693214,1.0,1.0,23.731745234534284,25.115579533141485,0.9449013590635585,0.043478260869565216,1829,5,20,5,2.1855632622063013,2.7611667208302153,1.0,1.0,23.555976517763014,25.47436368165459,0.9246934216742337,0.05
2,1310,1,52,1,12.93417036970743,16.323301623860743,0.1568627450980392,0.3333333333333333,23.62893473667974,26.359051713182204,0.8964258272183164,0.019230769230769232,1593.0,5.0,31.0,5.0,3.3891552817192405,5.27414433915294,0.7307692307692307,1.0,21.86121192653091,24.53661832137625,0.8909627088866386,0.03225806451612903,1539,4,34,4,5.118181273841799,6.318885650929067,0.4666666666666667,1.0,22.684547284676366,24.68139215798983,0.9190951280004257,0.029411764705882353,1729,6,24,6,2.1419359868320385,3.2182303204355325,1.0,1.0,20.58158046471281,23.21747425502122,0.886469399670451,0.041666666666666664
3,1265,1,56,1,12.837640638844618,15.735056290181753,0.07272727272727272,0.36363636363636365,24.632038481512758,27.540035994208907,0.8944083619459452,0.017857142857142856,1603.0,5.0,31.0,5.0,3.177635987239853,5.06973495363593,0.6923076923076923,1.0,22.777262907972926,24.83878526494529,0.9170038979369185,0.03225806451612903,1539,4,34,4,4.86322479052393,6.515131453182676,0.5,1.0,24.038035530690344,26.432295451847942,0.9094191450182882,0.029411764705882353,1660,7,28,7,2.5427837537512232,4.481448411699489,1.0,1.0,23.03931673204476,25.40874947140088,0.9067473689713433,0.03571428571428571
4,1537,1,35,1,6.049682536533112,8.058443953247707,0.4411764705882353,1.0,23.334658440722198,26.54214484127651,0.8791549658200097,0.02857142857142857,1625.0,5.0,29.0,5.0,3.678470109784371,5.544559003462587,0.7083333333333334,1.0,21.83233123119485,24.54590575738357,0.8894489959747174,0.034482758620689655,1593,4,31,4,4.280482386883023,5.9206267314888015,0.5925925925925926,1.0,22.16171396073152,24.641118365419814,0.8993793882274527,0.03225806451612903,1729,6,24,6,2.196016391796263,3.898766955928569,1.0,1.0,21.946042714974322,24.54416090933347,0.8941451612888035,0.041666666666666664
5,1436,1,41,1,7.836126958061698,10.815765004827472,0.25,0.65,22.66202565655681,25.75547728173311,0.8798915045783171,0.024390243902439025,1620.0,5.0,30.0,5.0,3.939577799233575,5.73449971981436,0.68,1.0,21.68039515881611,23.76029492559602,0.9124632175950259,0.03333333333333333,1607,3,30,3,3.9449025524502304,5.992412864361609,0.7037037037037037,1.0,21.703258711074938,23.7607610511891,0.9134075572881873,0.03333333333333333,1729,6,24,6,2.2456135173188727,3.7896082605595667,1.0,1.0,21.39251094348967,23.245830409617554,0.9202730367781954,0.041666666666666664
6,1392,1,45,1,8.751074973609548,11.827858643842228,0.22727272727272727,0.6136363636363636,22.355780789155414,25.262139508590604,0.8849519963086714,0.022222222222222223,1505.0,5.0,37.0,5.0,5.900991673864894,7.803158131966052,0.40625,1.0,23.884967516085208,25.090101567698408,0.9519677491794326,0.02702702702702703,1488,4,38,4,6.239709591336691,8.022170976892813,0.38235294117647056,0.9411764705882353,23.724757415759758,25.13692089725602,0.9438211431197838,0.02631578947368421,1577,8,32,8,4.177216983737424,6.2781728043968315,0.5833333333333334,1.0,20.96372544084279,24.267446484573004,0.8638620241387814,0.03125
7,1631,1,29,1,5.242835857635384,7.42701118617431,0.39285714285714285,1.0,25.213565923366044,26.679014600613396,0.9450711092900088,0.034482758620689655,inf,,,,,,,,,,,,1869,2,19,2,2.9700607046277128,3.7889029290994816,1.0,1.0,23.668001977191214,26.259861142264853,0.901299586047617,0.05263157894736842,2054,4,14,4,2.0662333008442033,2.8097557914910793,1.0,1.0,23.160474716924902,25.230768011037366,0.9179456886446421,0.07142857142857142
8,1546,1,34,1,4.985996556538453,7.216789044266989,0.5151515151515151,1.0,22.392927222459033,24.423411312479406,0.9168632070253481,0.029411764705882353,1795.0,5.0,22.0,5.0,2.3056270187936434,4.0779892647924045,1.0,1.0,20.83918371439516,22.81279723760142,0.913486561834108,0.045454545454545456,1691,3,26,3,2.925771220049228,4.698311732343905,0.8695652173913043,1.0,21.166425649659374,23.26209841421564,0.9099104161954888,0.038461538461538464,1829,5,20,5,1.7553674729703062,2.793867903101774,1.0,1.0,20.851853763255427,22.610954200223322,0.9222014063895402,0.05
9,1370,1,47,1,10.743215150355638,14.09234295418048,0.10869565217391304,0.43478260869565216,24.805143708891453,27.340299589481656,0.9072740270349661,0.02127659574468085,1796.0,5.0,22.0,5.0,2.0102483716833603,4.204592373207561,0.9411764705882353,1.0,22.991208570785744,25.730816433327334,0.8935281408718471,0.045454545454545456,1607,3,30,3,4.678275511061429,6.749249205827641,0.5185185185185185,1.0,24.032248080540683,26.212629879259584,0.9168194183963166,0.03333333333333333,1829,5,20,5,1.942675318829174,3.7683679129711893,1.0,1.0,22.90262117639874,24.770186606762508,0.924604305166845,0.05
