run,K_1_tau,K_1_K_used,K_1_N,K_1_n_in,K_1_f_best_tau,K_1_err_best_tau,K_1_depth_into_Ain,K_1_gap_med,K_1_gap_q80,K_1_gap_le_5,K_1_gap_le_10,K_1_r50,K_1_r80,K_1_tight,K_1_beta_r,K_5_tau,K_5_K_used,K_5_N,K_5_n_in,K_5_f_best_tau,K_5_err_best_tau,K_5_depth_into_Ain,K_5_gap_med,K_5_gap_q80,K_5_gap_le_5,K_5_gap_le_10,K_5_r50,K_5_r80,K_5_tight,K_5_beta_r,K_10pctN_tau,K_10pctN_K_used,K_10pctN_N,K_10pctN_n_in,K_10pctN_f_best_tau,K_10pctN_err_best_tau,K_10pctN_depth_into_Ain,K_10pctN_gap_med,K_10pctN_gap_q80,K_10pctN_gap_le_5,K_10pctN_gap_le_10,K_10pctN_r50,K_10pctN_r80,K_10pctN_tight,K_10pctN_beta_r,K_25pctN_tau,K_25pctN_K_used,K_25pctN_N,K_25pctN_n_in,K_25pctN_f_best_tau,K_25pctN_err_best_tau,K_25pctN_depth_into_Ain,K_25pctN_gap_med,K_25pctN_gap_q80,K_25pctN_gap_le_5,K_25pctN_gap_le_10,K_25pctN_r50,K_25pctN_r80,K_25pctN_tight,K_25pctN_beta_r
0,88,1,154,1,2303.25387776793,103.25387776793013,1.74612223207032,5.454638091542165,5.9550796227129466,0.3202614379084967,1.0,2.386691349104396,3.2000639721374244,0.7458261365663414,0.9935064935064936,99,5,151,5,2303.25387776793,103.25387776793013,1.74612223207032,4.289103312239831,5.265075003830134,0.7054794520547946,1.0,2.1043761770735,2.7305454858995333,0.7706797736717607,1.0,114,15,147,15,2302.200487926576,102.20048792657599,2.7995120734244665,2.8699625749843563,4.102231434084478,0.9696969696969697,1.0,2.0527888189834647,2.5827289528666326,0.7948138796001126,1.0,126,36,144,38,2301.1820070519734,101.18200705197341,3.8179929480270403,2.016663400608877,3.0815092838356577,1.0,1.0,1.9260716680459087,2.6821105570333836,0.7181179250777376,1.0
1,84,1,155,1,2304.9981626139415,104.99816261394153,0.0018373860589235846,5.7889142183692,6.198098269649108,0.2727272727272727,1.0,3.605081776368015,4.361675219205446,0.8265360429621219,0.9161290322580645,100,5,151,5,2304.296271800995,104.29627180099487,0.7037281990055817,4.0751845626264185,4.935079232175212,0.821917808219178,1.0,2.8097042017587714,3.4526352032609324,0.8137854236975491,0.9867549668874173,123,15,145,15,2302.0963747517935,102.09637475179352,2.903625248206936,2.2709202904845824,3.496087558520776,1.0,1.0,2.5541285042631268,3.23359112074387,0.7898736757031802,1.0,140,35,140,38,2301.9428134115524,101.94281341155238,3.057186588448076,1.51127844550183,2.4423104346115907,1.0,1.0,2.0716480797168484,2.770178736112343,0.7478391385763759,1.0
2,77,1,157,1,2304.096323276507,104.09632327650706,0.9036767234933905,5.699090496417966,6.170144906534915,0.1987179487179487,1.0,2.946922344935006,3.7946590803244864,0.7765973919014119,0.9808917197452229,92,5,153,5,2301.915613648386,101.91561364838617,3.0843863516142846,3.8311306513605814,4.860686906787123,0.8513513513513513,1.0,2.3884669316586113,2.9606698833280922,0.8067319308742834,0.9869281045751634,106,15,149,15,2301.915613648386,101.91561364838617,3.0843863516142846,2.7666009009471964,3.9358665710121388,0.9925373134328358,1.0,2.3104688256482637,2.860415948568691,0.807738757995804,1.0,117,37,146,40,2300.839419835361,100.83941983536079,4.1605801646396685,1.9150337773060073,3.275021645945799,1.0,1.0,1.7060241216173113,2.466813707220063,0.6915901742494728,0.9931506849315068
3,88,1,154,2,2304.7306954876485,104.73069548764852,0.26930451235193686,4.602485321345057,5.466053248250683,0.5921052631578947,1.0,2.338567729327249,2.931007904395231,0.7978715191523092,0.9935064935064936,90,5,153,5,2304.153622027356,104.15362202735605,0.8463779726444045,4.269037958130639,5.326934739134595,0.6621621621621622,1.0,2.6449091138257805,3.1870269138602376,0.8298985811268769,0.9738562091503268,103,15,150,15,2302.0747769196305,102.0747769196305,2.9252230803699604,2.5487605892349166,3.933709866005029,0.9555555555555556,1.0,2.085696108345724,2.675829875801197,0.779457665529362,0.9933333333333333,122,37,145,38,2302.0747769196305,102.0747769196305,2.9252230803699604,1.5320409035771263,2.407992960981392,1.0,1.0,1.9774158653513296,2.4501545711880346,0.8070575989793645,1.0
4,81,1,156,1,2304.6419143909566,104.64191439095657,0.35808560904388287,5.477330221282045,6.033571871090407,0.3161290322580645,1.0,2.5814547298817128,3.0665902249310335,0.8417996995147171,0.9935897435897436,95,5,152,5,2303.8186428019862,103.81864280198624,1.1813571980142115,3.7137526894880466,4.693641189111441,0.8571428571428571,1.0,2.1201464064650506,2.6080846078743027,0.8129132007696093,1.0,105,15,149,15,2303.383424261518,103.38342426151803,1.6165757384824246,2.948322660643953,3.9082392986952983,0.9925373134328358,1.0,1.9745617922257193,2.5175987487902822,0.7843036119931761,1.0,116,37,146,37,2302.070712996244,102.07071299624386,2.929287003756599,2.051513022848212,3.2403841933646618,1.0,1.0,1.9232071721583697,2.622730349178967,0.7332843701451888,1.0
5,90,1,153,1,2304.86949553199,104.8694955319902,0.13050446801025828,4.956467702260625,5.618250085389263,0.5131578947368421,1.0,2.6508626405755797,3.3946513668742675,0.7808939281492241,0.9803921568627451,96,5,152,5,2303.2778104143404,103.27781041434037,1.7221895856600895,3.9723488417789667,4.904620696260008,0.8027210884353742,1.0,3.0458145556301632,3.703467168105009,0.8224224537107606,0.9868421052631579,105,15,149,15,2302.047877355052,102.04787735505215,2.952122644948304,3.3822076353073953,4.196457837218714,0.9552238805970149,1.0,2.0570686801808282,2.6916070048322154,0.7642529821358739,0.9932885906040269,123,37,145,37,2301.7713352099727,101.77133520997268,3.2286647900277785,1.7816390657633292,3.2325639280094043,1.0,1.0,1.77865511229493,2.3262007570647323,0.7646180609704937,1.0
6,70,1,159,1,2303.255536551467,103.25553655146678,1.7444634485336792,6.530699226525485,7.2118547574494185,0.0379746835443038,1.0,3.7578687768802572,4.565270174688291,0.8231426910318266,0.8616352201257862,87,5,154,5,2303.255536551467,103.25553655146678,1.7444634485336792,4.268209782575013,5.187191663315571,0.7181208053691275,1.0,2.5376094489386247,3.488789812062105,0.7273609433750123,0.9935064935064936,100,16,151,18,2302.7931919395714,102.79319193957144,2.2068080604290117,2.6244068161372525,4.170018479020746,0.9548872180451128,1.0,2.3775434828737585,3.032047582316535,0.78413791945088,0.9933774834437086,113,37,147,38,2301.8861626883136,101.88616268831356,3.1138373116868934,1.5659671016292123,2.7541286277451036,1.0,1.0,2.2788348423618174,3.0853013733324666,0.7386101280279223,1.0
7,90,1,153,1,2303.6474506863965,103.6474506863965,1.3525493136039586,4.945659077020309,5.731754816610919,0.5394736842105263,1.0,2.5885193012960412,3.185821462257672,0.8125123557494195,0.9934640522875817,99,5,151,5,2303.6474506863965,103.6474506863965,1.3525493136039586,3.930598183294933,4.857764227550888,0.8698630136986302,1.0,2.408321699481199,3.0991765708412085,0.7770843785217146,0.9933774834437086,111,15,148,15,2303.350792129796,103.35079212979599,1.6492078702044637,2.816708392233977,4.265842476157741,0.9849624060150376,1.0,2.7454490468686794,3.400017044656015,0.8074809657745233,0.9864864864864865,126,36,144,38,2301.434262618577,101.43426261857712,3.5657373814233324,1.7349779129501712,2.757807922104348,1.0,1.0,2.279522578927912,2.6943064035427393,0.8460517244551589,0.9930555555555556
8,88,1,154,1,2304.8400257002045,104.84002570020448,0.15997429979597655,5.15788564570812,5.892041064853948,0.43137254901960786,1.0,2.9016221455796103,3.61261256968235,0.8031921745305626,0.974025974025974,110,5,148,5,2303.5516983621105,103.55169836211053,1.4483016378899265,2.8459957440486505,4.223500937895187,0.965034965034965,1.0,2.4847910565539393,3.4104728950582883,0.7285766909786485,1.0,123,15,145,15,2302.614271435178,102.61427143517813,2.3857285648223296,1.9457960960305627,3.428943260687902,1.0,1.0,2.1351231659864114,2.800116635725263,0.7625122249357265,1.0,138,36,141,38,2302.5710642000126,102.57106420001264,2.428935799987812,1.5017447692102905,2.4686661031706536,1.0,1.0,2.1615288955618235,2.6017388658105047,0.8308016319264443,1.0
9,93,1,153,1,2304.985045221662,104.98504522166195,0.014954778338506003,4.346469178337429,5.324769987665695,0.7105263157894737,1.0,3.12141352352628,3.924220854796045,0.7954224899731109,0.9869281045751634,107,5,149,6,2303.0309775513783,103.03097755137833,1.9690224486221268,3.547030866692239,4.3309737187059,0.9440559440559441,1.0,2.834780379789562,3.6427360526274595,0.7782008739680358,0.9865771812080537,120,15,145,18,2303.0309775513783,103.03097755137833,1.9690224486221268,2.5686578748372995,3.651170849983919,1.0,1.0,2.69269649193451,3.471201699335375,0.7757245833482036,0.993103448275862,134,36,142,38,2301.7965902207056,101.79659022070564,3.203409779294816,1.4717515924687632,2.675167575425985,1.0,1.0,2.1701677674303848,2.7383983353095176,0.7924952843593858,0.9929577464788732
