run,tau,tau_out,hit,hit_out,n_at_risk,G2G3_rate,G4_rate,G5_rate,Ghat_rate,gamma0_mean,any_G4,any_Ghat,any_gamma0_pos,tau_G2G3_first,tau_G4_first,tau_G5_first,tau_Ghat_first,tau_G2G3_stable,tau_G4_stable,tau_G5_stable,tau_Ghat_stable,T_conc_5,T_conc_10,T_conc_20,delta_5,delta_10,delta_20,phase1_duration,phase2_duration,phase_ratio,Twit
0,inf,inf,False,False,2164,0.0,0.0,0.13493530499075784,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
1,inf,inf,False,False,2164,0.9098890942698706,0.0,1.0,0.0,0.0,False,False,False,195.0,inf,0.0,inf,195.0,inf,0.0,inf,195.0,195.0,195.0,,,,,,,inf
2,inf,inf,False,False,2164,0.0,0.0,0.10582255083179297,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
3,inf,inf,False,False,2164,0.0,0.0,0.17282809611829944,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
4,inf,inf,False,False,2164,0.0,0.0,0.1423290203327172,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
5,inf,inf,False,False,2164,0.927449168207024,0.0,1.0,0.0,0.0,False,False,False,157.0,inf,0.0,inf,157.0,inf,0.0,inf,157.0,157.0,157.0,,,,,,,inf
6,inf,inf,False,False,2164,0.0,0.0,0.1963955637707948,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
7,inf,inf,False,False,2164,0.8974121996303143,0.0,1.0,0.0,0.0,False,False,False,222.0,inf,0.0,inf,222.0,inf,0.0,inf,222.0,222.0,222.0,,,,,,,inf
8,inf,inf,False,False,2164,0.0,0.0,0.12060998151571165,0.0,0.0,False,False,False,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,inf
9,inf,inf,False,False,2164,0.9071164510166358,0.0,1.0,0.0,0.0,False,False,False,200.0,inf,0.0,inf,202.0,inf,0.0,inf,202.0,202.0,202.0,,,,,,,inf
10,inf,inf,False,False,2164,0.7287430683918669,0.0,0.48613678373382624,0.0,0.0,False,False,False,587.0,inf,0.0,inf,587.0,inf,inf,inf,587.0,587.0,587.0,,,,,,,inf
11,inf,inf,False,False,2164,0.9121996303142329,0.0,1.0,0.0,0.0,False,False,False,190.0,inf,0.0,inf,190.0,inf,0.0,inf,190.0,190.0,190.0,,,,,,,inf
