run,K_1_tau,K_1_K_used,K_1_N,K_1_n_in,K_1_f_best_tau,K_1_err_best_tau,K_1_depth_into_Ain,K_1_gap_med,K_1_gap_q80,K_1_gap_le_5,K_1_gap_le_10,K_1_r50,K_1_r80,K_1_tight,K_1_beta_r,K_5_tau,K_5_K_used,K_5_N,K_5_n_in,K_5_f_best_tau,K_5_err_best_tau,K_5_depth_into_Ain,K_5_gap_med,K_5_gap_q80,K_5_gap_le_5,K_5_gap_le_10,K_5_r50,K_5_r80,K_5_tight,K_5_beta_r,K_10pctN_tau,K_10pctN_K_used,K_10pctN_N,K_10pctN_n_in,K_10pctN_f_best_tau,K_10pctN_err_best_tau,K_10pctN_depth_into_Ain,K_10pctN_gap_med,K_10pctN_gap_q80,K_10pctN_gap_le_5,K_10pctN_gap_le_10,K_10pctN_r50,K_10pctN_r80,K_10pctN_tight,K_10pctN_beta_r,K_25pctN_tau,K_25pctN_K_used,K_25pctN_N,K_25pctN_n_in,K_25pctN_f_best_tau,K_25pctN_err_best_tau,K_25pctN_depth_into_Ain,K_25pctN_gap_med,K_25pctN_gap_q80,K_25pctN_gap_le_5,K_25pctN_gap_le_10,K_25pctN_r50,K_25pctN_r80,K_25pctN_tight,K_25pctN_beta_r
0,583.0,1.0,64.0,1.0,1403.1690538929952,3.16905389299518,1.8582906162100699,6.7238355793081155,8.439657496337304,0.30158730158730157,0.8888888888888888,28.029483096040938,34.04575992257821,0.8232885140405561,0.140625,696.0,5.0,53.0,5.0,1402.9728609364438,2.9728609364437943,2.0544835727614554,3.255387676760506,4.248767116878571,0.8958333333333334,1.0,16.629492983626456,33.185456667985285,0.5011078542628368,0.49056603773584906,698.0,6.0,53.0,7.0,1402.9728609364438,2.9728609364437943,2.0544835727614554,3.1036739502736737,4.293540251799186,0.8913043478260869,1.0,4.520841867929593,33.185456667985285,0.136229611457809,0.5094339622641509,708.0,13.0,52.0,13.0,1402.4705080745848,2.4705080745848136,2.556836434620436,2.374668374890234,3.5062525298009404,1.0,1.0,2.6849233560681487,32.75015652924139,0.08198200071718378,0.6346153846153846
1,496.0,1.0,75.0,1.0,1404.8704711325445,4.8704711325444805,0.15687337666076928,6.976276283299967,10.992786297707429,0.33783783783783783,0.7432432432432432,26.136219996887355,32.819268511430735,0.796368145371195,0.09333333333333334,519.0,5.0,72.0,5.0,1404.4206940102943,4.420694010294255,0.6066504989109944,4.114876053917442,6.556155104228629,0.5671641791044776,0.9402985074626866,33.36278903077902,44.88859247314152,0.7432353565271888,0.013888888888888888,531.0,8.0,71.0,8.0,1404.2168278100305,4.216827810030509,0.810516699174741,3.024571651958695,5.388484657190065,0.6984126984126984,0.9841269841269841,25.970818895003465,33.11582267906387,0.7842419965433158,0.14084507042253522,551.0,17.0,68.0,17.0,1402.155339130472,2.15533913047193,2.87200537873332,2.186691015695942,4.713881743758975,0.8235294117647058,1.0,28.20504832806337,41.80025450286731,0.6747578134034717,0.04411764705882353
2,448.0,1.0,82.0,1.0,1402.622653021122,2.622653021122005,2.4046914880832446,18.2220103416837,21.310471271030565,0.037037037037037035,0.14814814814814814,39.769013519672775,75.85310062764432,0.5242898865122876,0.036585365853658534,555.0,5.0,68.0,5.0,1402.6071287605048,2.607128760504793,2.420215748700457,4.09966307743025,8.247463389112546,0.6190476190476191,0.873015873015873,27.864233369622617,38.82958192488522,0.7176032289898261,0.08823529411764706,567.0,7.0,66.0,7.0,1402.6071287605048,2.607128760504793,2.420215748700457,3.421363290618956,5.799945227717081,0.711864406779661,0.9661016949152542,27.810761590512996,37.29042777252265,0.745788215682666,0.09090909090909091,590.0,16.0,64.0,16.0,1402.214125694382,2.2141256943818917,2.813218814823358,2.079902689391133,4.520764783913637,0.875,1.0,33.62468329852223,43.91815149297679,0.7656215518064177,0.046875
3,524.0,1.0,71.0,1.0,1404.9679667674188,4.9679667674188295,0.0593777417864203,9.339485759801732,17.873674664331613,0.14285714285714285,0.5428571428571428,32.31480587638308,47.39598246468719,0.6818047479121153,0.056338028169014086,582.0,5.0,64.0,5.0,1403.1318016069768,3.131801606976751,1.8955429022284989,2.6582421267166865,6.082726707844314,0.7457627118644068,0.9491525423728814,28.99162056114347,37.98841376177869,0.7631700745113194,0.0625,588.0,7.0,64.0,7.0,1402.7879375050563,2.787937505056334,2.239407004148916,2.589590318342971,5.367989825556926,0.7719298245614035,0.9473684210526315,28.99119047690708,37.98607464055973,0.7632057471384964,0.0625,608.0,16.0,62.0,17.0,1402.3839116712124,2.383911671212445,2.6434328379928047,2.4057280750166683,3.8957541357033736,0.9111111111111111,0.9777777777777777,28.61394323376838,37.317836068537574,0.766763195519062,0.06451612903225806
4,483.0,1.0,77.0,1.0,1404.860123644871,4.86012364487101,0.1672208643342401,8.84652397160562,13.29051987322623,0.14473684210526316,0.5921052631578947,26.430650930192417,36.18353791628948,0.7304606584170862,0.12987012987012986,556.0,5.0,67.0,6.0,1404.0910976072696,4.091097607269603,0.9362469019356467,3.2010046456291548,5.591795521019321,0.7540983606557377,1.0,27.71587834473665,40.40296230260041,0.6859862932117927,0.07462686567164178,557.0,7.0,67.0,8.0,1403.9864647853838,3.9864647853837596,1.0408797238214902,3.315234190555884,5.648858475270391,0.7627118644067796,1.0,25.2873826892343,29.88302619560801,0.846212245162468,0.16417910447761194,584.0,16.0,64.0,16.0,1402.6135339260359,2.6135339260358705,2.4138105831693792,2.5633207172777475,3.7890260140145986,0.8958333333333334,1.0,25.408045248921624,33.86337342349078,0.7503105178321143,0.15625
5,600.0,1.0,62.0,1.0,1404.4833207946112,4.483320794611245,0.5440237145940046,4.078770198379061,5.716086901985136,0.6885245901639344,1.0,2.502203907518392,18.179748005736997,0.13763688620594575,0.7419354838709677,605.0,5.0,62.0,7.0,1403.9365754655596,3.9365754655595993,1.0907690436456505,3.2713118907643093,5.11891970291963,0.7636363636363637,1.0,2.2582247553453394,17.310399723709665,0.13045480124022207,0.7580645161290323,605.0,7.0,62.0,7.0,1403.9365754655596,3.9365754655595993,1.0907690436456505,3.2713118907643093,5.11891970291963,0.7636363636363637,1.0,2.2582247553453394,17.310399723709665,0.13045480124022207,0.7580645161290323,612.0,16.0,61.0,16.0,1403.6933979473501,3.6933979473501495,1.3339465618551003,2.0822573515151817,4.304047859788352,0.8444444444444444,1.0,1.7160300007922542,17.35336305751975,0.09888746032133784,0.7868852459016393
6,578.0,1.0,65.0,1.0,1404.628289104728,4.628289104728083,0.39905540447716703,5.488419738504945,7.537940315533889,0.4375,0.921875,26.096042816819967,28.47085615354308,0.9165879198041756,0.06153846153846154,614.0,5.0,61.0,5.0,1404.0385415236185,4.038541523618505,0.9888029855867444,3.286546211985751,5.239504637225991,0.7857142857142857,1.0,25.35779524502888,27.810085518675187,0.9118201102977719,0.04918032786885246,618.0,6.0,60.0,6.0,1404.0385415236185,4.038541523618505,0.9888029855867444,2.988730209244295,4.508411831184276,0.8518518518518519,1.0,25.28594777301395,27.876481801948692,0.9070709838013472,0.05,640.0,15.0,58.0,15.0,1402.7802697912518,2.7802697912518397,2.24707471795341,1.824930130837629,3.4353374137251658,0.9767441860465116,1.0,25.044012280138507,28.00732137640867,0.8941951978754299,0.05172413793103448
7,477.0,1.0,78.0,1.0,1404.281804346939,4.281804346938998,0.7455401622662521,4.170788011017976,6.200046166969698,0.5974025974025974,1.0,3.2102405502361115,19.84455807501853,0.16176931419185125,0.5384615384615384,486.0,5.0,76.0,5.0,1404.281804346939,4.281804346938998,0.7455401622662521,3.5794111219033766,5.733509818647917,0.704225352112676,1.0,2.745786212283682,19.452124965561012,0.1411561059341823,0.5921052631578947,499.0,8.0,75.0,8.0,1403.0972990597356,3.097299059735633,1.9300454494696169,2.5582296061493253,3.926766449975276,0.9104477611940298,1.0,2.4326159961127276,18.007632904324325,0.13508804899774268,0.7333333333333333,508.0,19.0,73.0,19.0,1402.857787047628,2.8577870476281078,2.169557461577142,1.2122875254272003,3.2657302608440206,0.9629629629629629,1.0,2.0498863178422666,17.68329824497566,0.11592217070843665,0.7808219178082192
8,611.0,1.0,61.0,1.0,1404.1681719937724,4.168171993772376,0.8591725154328742,3.8986952027113375,5.139232261779717,0.75,1.0,3.669629643903405,25.52966540663363,0.1437398252367964,0.5081967213114754,627.0,5.0,60.0,5.0,1403.581854850733,3.5818548507329524,1.4454896584722974,2.7100065861402527,4.319195650375605,0.9090909090909091,1.0,3.2786104690607925,26.642604462918985,0.12305893268144796,0.5333333333333333,629.0,6.0,59.0,6.0,1403.581854850733,3.5818548507329524,1.4454896584722974,2.1387866764453065,3.983810939861087,0.9622641509433962,1.0,2.8874662473039705,26.516460045627067,0.10889335312238083,0.5423728813559322,642.0,15.0,58.0,15.0,1402.5893571994684,2.5893571994683953,2.4379873097368545,1.603338817569238,3.3681011969033534,0.9767441860465116,1.0,2.0953420176184316,23.3486640091145,0.08974140947852449,0.5689655172413793
9,517.0,1.0,72.0,1.0,1404.710839729392,4.710839729392092,0.31650477981315817,8.316818617253375,9.987618767662752,0.19718309859154928,0.8028169014084507,19.17271728621604,26.48900804089144,0.7237989907594448,0.1527777777777778,566.0,5.0,66.0,5.0,1402.9805452839132,2.980545283913216,2.046799225292034,4.468322981126676,6.519410684243667,0.6229508196721312,1.0,17.88033634195108,20.611596091463195,0.8674891678746153,0.3939393939393939,581.0,7.0,65.0,7.0,1402.6909630520504,2.6909630520503924,2.3363814571548573,3.2534057634177316,4.77023268425628,0.8275862068965517,1.0,16.87957583721218,19.9926196267382,0.8442903507571051,0.47692307692307695,596.0,16.0,63.0,18.0,1402.3073990414205,2.3073990414204673,2.7199454677847825,2.0416683231358093,4.042399002234789,0.9111111111111111,1.0,2.767138774690389,18.732099663515783,0.14772176234359363,0.5873015873015873
