eps,n_hits,l2_rate,l3_rate,gamma
0.01,51,0.9262219231092791,1.0,0.9262219231092791
1.0,51,0.8499828942866917,1.0,0.8499828942866917
10.0,51,0.6725365305357812,1.0,0.6725365305357812
100.0,51,1.0,1.0,1.0
400.0,51,0.0,0.0,0.0
