function,eps,f_star,n_hits,hit_rate,tau_first,tau_median,tau_max,p_hat,clustering,l2_rate,l3_rate,gamma,N_tau_median,N_tau_min,N_tau_max,F_minus,F_plus,Delta_F,F_mean,n_success_F,g2g3_r0.5,beta1_r0.5,g2g3_r1.0,beta1_r1.0,g2g3_r2.0,beta1_r2.0,g2g3_r5.0,beta1_r5.0,g2g3_r10.0,beta1_r10.0,g2g3_r20.0,beta1_r20.0
cec2017_f6,0.01,600.0,51,1.0,204,233.0,256,0.004290401278707832,1.8035960134912852,0.9262219231092791,1.0,0.9262219231092791,119.0,114,125,0.16904685317256318,0.8389633170055377,0.6699164638329745,0.5093622133397117,316503.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cec2017_f6,1.0,600.0,51,1.0,95,116.0,127,0.008723913787204926,1.7611253504506714,0.8499828942866917,1.0,0.8499828942866917,146.0,144,152,0.19565340329366612,0.9180567136014528,0.7224033103077867,0.5481704708059879,175977.0,0.0,0.00684931506849315,0.0,0.00684931506849315,0.3137254901960784,0.027777777777777776,1.0,0.773972602739726,1.0,0.9931506849315068,1.0,1.0
cec2017_f6,10.0,600.0,51,1.0,19,53.0,68,0.01910828025477707,3.12511557470578,0.6725365305357812,1.0,0.6725365305357812,164.0,159,174,0.24541161908905004,1.0,0.7545883809109499,0.6088860119090217,93186.0,0.0,0.006097560975609756,0.0,0.006097560975609756,0.0,0.006097560975609756,0.0,0.006097560975609756,0.0,0.006097560975609756,0.37254901960784315,0.03067484662576687
cec2017_f6,100.0,600.0,51,1.0,0,0.0,2,4.25,4.898979485566357,1.0,1.0,1.0,180.0,179,180,0.21977625723331798,1.0,0.780223742766682,0.5305193172287739,1265.0,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.005555555555555556
cec2017_f6,400.0,600.0,51,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,180.0,180,180,,,,,,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.005555555555555556
