function,func_id,dim,f_star,n_runs,error_min,error_median,error_mean,error_max,eps_in,margin,eps_source,r_geo,K_1_success,K_1_tau_med,K_1_N_med,K_1_n_in_med,K_1_gap_med,K_1_gap_q80,K_1_gap_le_5,K_1_gap_le_10,K_1_r80,K_1_tight,K_1_beta_r,K_5_success,K_5_tau_med,K_5_N_med,K_5_n_in_med,K_5_gap_med,K_5_gap_q80,K_5_gap_le_5,K_5_gap_le_10,K_5_r80,K_5_tight,K_5_beta_r,K_10pctN_success,K_10pctN_tau_med,K_10pctN_N_med,K_10pctN_n_in_med,K_10pctN_gap_med,K_10pctN_gap_q80,K_10pctN_gap_le_5,K_10pctN_gap_le_10,K_10pctN_r80,K_10pctN_tight,K_10pctN_beta_r,K_25pctN_success,K_25pctN_tau_med,K_25pctN_N_med,K_25pctN_n_in_med,K_25pctN_gap_med,K_25pctN_gap_q80,K_25pctN_gap_le_5,K_25pctN_gap_le_10,K_25pctN_r80,K_25pctN_tight,K_25pctN_beta_r
cec2017_f1,1,30,100.0,51,0.0,0.0,1.1145768404080003e-15,1.4210854715202004e-14,5.0,5.0,median(final_error)+margin,5.0,51,283.0,325.0,1.0,6.459371315635636,9.779665351985452,0.3231707317073171,0.8079268292682927,0.9476409659622469,0.5395137843778717,1.0,51,284.0,324.0,7.0,4.427679605329409,7.073139277178569,0.5814696485623003,0.9472049689440993,0.8215665642904588,0.5450364267068892,1.0,51,287.0,323.0,44.0,2.302896080568452,4.128609425348628,0.8843283582089553,1.0,0.7223379055515768,0.5480123943561275,1.0,51,288.0,322.0,102.0,1.4810709621987357,2.890207800966877,0.9601769911504425,1.0,0.6683874206790738,0.5455404026700283,1.0
cec2017_f2,2,30,200.0,51,0.0,0.0,7.802037882856003e-15,2.842170943040401e-14,5.0,5.0,median(final_error)+margin,5.0,51,257.0,340.0,1.0,13.190885635372965,18.468051598295347,0.06876790830945559,0.2949438202247191,13.828717904381284,0.714781239019545,0.1437125748502994,51,259.0,339.0,9.0,10.265783670649128,15.553505588602206,0.1609907120743034,0.48297213622291024,12.583272801853344,0.6858308591514419,0.2536873156342183,51,261.0,338.0,46.0,6.043288950049444,10.909723248732695,0.4070175438596491,0.7508090614886731,8.634868265801693,0.56007623852153,0.504424778761062,51,262.0,337.0,100.0,3.9876453299706895,8.079173126311048,0.5983935742971888,0.8760683760683761,6.304661340466314,0.5566139283758351,0.6852367688022284
cec2017_f3,3,30,300.0,51,0.0,0.0,5.572884202040001e-15,5.684341886080802e-14,5.0,5.0,median(final_error)+margin,5.0,51,176.0,393.0,1.0,7.605027889198482,11.682840806454696,0.2524752475247525,0.7061855670103093,3.835720653121865,0.8731206707003075,0.9946091644204852,51,177.0,393.0,7.0,5.176658528280342,8.24285841653193,0.4794871794871795,0.8882978723404256,3.4486024531509183,0.8757544278372165,1.0,51,181.0,390.0,50.0,2.6445200830746387,4.801934009492391,0.8157894736842105,0.9876543209876543,2.856616824724106,0.8763092633743235,1.0,51,182.0,389.0,115.0,1.6879551194808187,3.3704324679174564,0.9263565891472868,1.0,2.5729634782522433,0.8743801823724485,1.0
cec2017_f4,4,30,400.0,51,58.561557302385154,58.561557302385154,58.561557302385175,58.56155730238521,63.561557302385154,5.0,median(final_error)+margin,5.0,51,334.0,297.0,1.0,3.231675713705812,4.669819306076045,0.8339622641509434,1.0,10.45949792263688,0.836134293716975,0.006535947712418301,51,337.0,295.0,8.0,2.3026570293721136,3.4241320080163975,0.9616858237547893,1.0,9.673012224899313,0.8398535437695156,0.014184397163120567,51,340.0,293.0,44.0,1.35984970336159,2.3217987034927434,1.0,1.0,9.470124557437266,0.8387935165299699,0.01567398119122257,51,342.0,292.0,93.0,0.9607189039450645,1.8438635444778129,1.0,1.0,9.13932574770119,0.8457241680316581,0.02459016393442623
cec2017_f5,5,30,500.0,51,3.1601799237533896,7.012789815104156,6.603349375040863,11.019571935584054,12.012789815104156,5.0,median(final_error)+margin,5.0,51,1354.0,48.0,1.0,9.519688428760787,12.449543992318581,0.16,0.5686274509803921,75.52818855560642,0.900342272152485,0.020833333333333332,50,1626.0,29.0,5.0,3.5602365693966362,5.469211991879742,0.7416666666666667,1.0,70.96156491874939,0.8994651927859096,0.034482758620689655,51,1560.0,33.0,4.0,4.577853090124677,6.423942418898605,0.5769230769230769,1.0,71.64291349937844,0.9029574441718963,0.030303030303030304,51,1729.0,24.0,6.0,2.637465912109178,3.938477782074642,1.0,1.0,69.70055193525583,0.9074152866736211,0.041666666666666664
cec2017_f6,6,30,600.0,51,1.1368683772161603e-13,1.1368683772161603e-13,6.329760342886598e-08,2.0392013766468153e-06,5.000000000000114,5.0,median(final_error)+margin,5.0,51,89.0,460.0,1.0,3.6134882840301543,4.990466988348771,0.8065217391304348,1.0,23.463272001227057,0.8613625063664183,0.002173913043478261,51,92.0,457.0,7.0,2.5603410668038578,3.63700109895151,0.9646799116997793,1.0,20.707678614852792,0.861954242801454,0.002188183807439825,51,96.0,454.0,55.0,1.286135213130592,2.138291399780428,1.0,1.0,17.18295072859974,0.8657920626705179,0.0022026431718061676,51,98.0,452.0,127.0,0.8407141644677267,1.563475083045273,1.0,1.0,15.262797123188859,0.8630860593099783,0.0022123893805309734
cec2017_f7,7,30,700.0,51,34.67025052726831,37.59698870851821,37.63062546506629,40.20675523767852,42.59698870851821,5.0,median(final_error)+margin,5.0,51,1436.0,41.0,1.0,8.199086381303175,11.696099453806141,0.19444444444444445,0.6136363636363636,26.648242310177327,0.9070737542897745,0.024390243902439025,49,1719.0,25.0,5.0,3.3890857056555888,4.8174105865008645,0.8333333333333334,1.0,25.090101567698408,0.9182384529129856,0.04,51,1607.0,30.0,3.0,4.678275511061429,6.515131453182676,0.5555555555555556,1.0,25.75031928086606,0.9158771649168759,0.03333333333333333,51,1804.0,21.0,6.0,2.408045726243131,3.5389153454372724,1.0,1.0,24.749211441310287,0.9218996145580529,0.047619047619047616
cec2017_f8,8,30,800.0,51,3.0682562631528754,7.071544997091337,7.11210413665587,10.184442472797286,12.071544997091337,5.0,median(final_error)+margin,5.0,51,1372.0,46.0,1.0,8.960097643341214,11.503452312408923,0.14285714285714285,0.6,80.19634393660674,0.9072752797634646,0.021739130434782608,47,1632.0,29.0,5.0,3.409608528890544,4.880461026723061,0.8333333333333334,1.0,75.4516491443804,0.919673654288036,0.034482758620689655,51,1607.0,30.0,4.0,4.4377619511393505,5.929408026629403,0.5909090909090909,1.0,76.83411680520229,0.9234942429326297,0.03333333333333333,51,1729.0,24.0,6.0,2.3900970550715783,3.3402856954113305,1.0,1.0,74.42286819490555,0.9220696728327548,0.041666666666666664
cec2017_f9,9,30,900.0,51,0.0,0.0,0.0,0.0,5.0,5.0,median(final_error)+margin,5.0,51,108.0,444.0,1.0,6.528432397889787,10.033711060435987,0.29571106094808125,0.7990970654627539,8.091414836973414,0.8792010694495059,0.015765765765765764,51,110.0,443.0,6.0,4.409060374443072,6.708738396167746,0.5949656750572082,0.9407744874715261,7.269617357798858,0.8780225860100478,0.06561085972850679,51,113.0,440.0,60.0,2.1833341684932748,3.804203685073958,0.9158163265306123,1.0,6.017193568211627,0.8725106081384714,0.38181818181818183,51,115.0,439.0,137.0,1.4549346277625546,2.7571336507326807,0.9743589743589743,1.0,5.492642110889574,0.8747785616362993,0.6068181818181818
cec2017_f10,10,30,1000.0,51,1091.6470135213876,1417.1537988422988,1457.590101763222,1808.699265814852,1422.1537988422988,5.0,median(final_error)+margin,5.0,26,2018.0,15.0,1.0,666.1983425565145,775.3004363666018,0.0,0.0,365.6849352294409,0.9131337617687475,0.06666666666666667,0,,,,,,,,,,,26,2203.0,10.0,1.0,497.97186718027933,594.696916842501,0.0,0.0,365.6645116371772,0.9168841401247603,0.1,26,2675.0,4.0,1.0,259.1810754466087,319.90259324326234,0.0,0.0,340.28652621041897,0.9056334375775106,0.25
cec2017_f11,11,30,1100.0,51,1.9899181141868212,9.295988184146836,31.76169063988602,66.41673113139586,14.295988184146836,5.0,median(final_error)+margin,5.0,28,597.5,185.0,1.0,8.698067479126394,13.153239919766818,0.2453223972713984,0.5724631751227496,34.56797034841624,0.7756848858855891,0.019960278053624627,26,619.0,178.5,5.0,5.563564463931243,10.053380054456216,0.4222222222222222,0.7846930995043843,29.05344709537436,0.7821808522184489,0.0261615284411637,28,646.5,170.0,17.5,3.827512832482114,7.070564506304345,0.6209183673469387,0.8960254206386414,28.180131513121168,0.7739865191835826,0.060805860805860805,28,678.0,160.5,41.0,2.3557967364079673,4.777504241295947,0.8138353309015112,1.0,27.900057045201777,0.7858031202419485,0.09123931623931625
cec2017_f12,12,30,1200.0,51,462.64922941434816,958.524325352827,1000.0414236432184,1980.8831774250548,963.524325352827,5.0,median(final_error)+margin,5.0,26,278.0,328.0,1.0,84.30835083130069,118.21430395105307,0.005822428639229778,0.01047749446882594,4.2217008796305056,0.7723914662023201,0.9042194326162694,26,280.0,326.5,7.0,66.1364313747631,99.70708643909438,0.012391502421713902,0.025396825396825397,4.520990106724563,0.7642749689928928,0.8598777928764895,26,282.0,325.5,43.0,35.65649601398195,64.76774926826724,0.045603517186251,0.1003075402273601,4.053081167911166,0.7455401799334953,0.9311011904761904,26,283.5,325.0,104.0,27.758851352956526,53.56640518976779,0.08607982955780687,0.1623375302564937,3.807680963572083,0.7559367205408755,0.9442961211335291
cec2017_f13,13,30,1300.0,51,1.30136898408432,21.45261290237363,16.721271474017925,34.423941946358354,26.45261290237363,5.0,median(final_error)+margin,5.0,44,1039.5,84.0,1.0,1.6784927692762608,2.571869477148925,0.9935897435897436,1.0,3.6157902262756125,0.7866716380680759,0.9865765765765766,44,1043.0,83.5,6.0,1.24232714075481,1.9562869795476219,1.0,1.0,2.649583345622526,0.7799220711974202,1.0,44,1044.5,83.0,11.5,1.166415646460166,1.8594045757628466,1.0,1.0,2.649583345622526,0.7703820233149877,1.0,44,1046.0,83.0,25.5,1.0858026330474218,1.594035149382421,1.0,1.0,2.4518812600155,0.755405649066895,1.0
cec2017_f14,14,30,1400.0,51,20.06120731824535,22.313328686822388,22.768324970299208,27.36081923121128,27.313328686822388,5.0,median(final_error)+margin,5.0,50,836.0,120.5,1.0,3.4278079545390483,5.711132159757971,0.740265376984127,0.9584588893671976,25.909977742538494,0.691712088086518,0.00858384910109048,50,847.0,119.0,5.0,1.9818764260136277,3.688693371370209,0.889229720518064,0.9911755559011041,21.928288545007376,0.7280052545837541,0.015226956924502084,50,854.0,117.0,13.0,1.5099495707061692,2.6159385149331698,0.9511511392103065,1.0,19.83043765822913,0.7237575485926782,0.016533442645350824,50,861.5,115.5,32.0,0.8883232439471271,1.848712595812731,0.981922525107604,1.0,17.8519594197629,0.7346026526225846,0.017624223602484473
cec2017_f15,15,30,1500.0,51,1.2075248467995152,3.257352228011996,3.2575595854061303,7.5957468662841165,8.257352228011996,5.0,median(final_error)+margin,5.0,51,811.0,126.0,1.0,0.3446704707155277,0.4962607810666668,1.0,1.0,4.8476670600102825,0.7585525821075337,0.8389830508474576,51,815.0,126.0,6.0,0.24784220932792778,0.36757619528298163,1.0,1.0,4.151513477139687,0.7462586282064714,0.93,51,817.0,125.0,15.0,0.18200380099085578,0.27164636431857625,1.0,1.0,3.6317856214185475,0.7475024020877699,0.9545454545454546,51,821.0,124.0,36.0,0.11221375975503634,0.22363719860718448,1.0,1.0,4.073862422541183,0.7470625346372175,0.9487179487179487
cec2017_f16,16,30,1600.0,51,12.842028763341432,27.72731168640621,37.74947681566359,242.9198032244335,32.72731168640621,5.0,median(final_error)+margin,5.0,35,2170.0,11.0,1.0,155.7297115531053,223.7154433666266,0.0,0.06666666666666667,169.44278627412035,0.8348214633614357,0.09090909090909091,2,2393.0,7.5,5.0,6.150255149207965,8.631141276318772,0.3333333333333333,0.8333333333333333,170.1513405270497,0.8289289150909965,0.13392857142857142,35,2203.0,10.0,1.0,112.77349378243787,212.73597918311884,0.0,0.1111111111111111,173.12468673601896,0.8523883220673669,0.1,35,2675.0,4.0,1.0,26.732804969347626,72.5763849063569,0.0,0.3333333333333333,167.29522000124652,0.8283301972208641,0.25
cec2017_f17,17,30,1700.0,51,18.32967358486576,34.0937490460085,33.42111963466263,42.71763980896685,39.0937490460085,5.0,median(final_error)+margin,5.0,44,1772.0,22.5,1.0,21.150106086931658,27.89854972924211,0.046296296296296294,0.1111111111111111,249.9300880522335,0.8850846942409414,0.044466403162055336,4,1999.0,15.5,5.0,10.187306228578052,11.912123787481598,0.2222222222222222,0.5673076923076923,245.21615759488844,0.8577154178863432,0.06512605042016806,44,2186.5,10.5,1.5,11.972872705748102,14.706565383987051,0.12698412698412698,0.358974358974359,238.32669905413724,0.8916305242854163,0.09545454545454546,44,2321.0,8.0,2.0,6.13069894520504,8.144781249224774,0.3333333333333333,1.0,230.36673597577072,0.8885715856323169,0.125
cec2017_f18,18,30,1800.0,51,20.214202336534527,22.229740957768172,22.32963238052205,26.249093884410286,27.229740957768172,5.0,median(final_error)+margin,5.0,51,610.0,181.0,1.0,5.718685116382289,8.258709343325291,0.4245810055865922,0.93,39.353220146411836,0.79774844117698,0.005555555555555556,51,651.0,168.0,5.0,3.1944330801522938,6.085945862742847,0.7116564417177914,1.0,36.49475175603045,0.7877576551536883,0.006024096385542169,51,678.0,160.0,17.0,2.2478091387464474,4.090389724497436,0.8670520231213873,1.0,33.80653113703521,0.7819002821902724,0.00625,51,699.0,154.0,40.0,1.408604860504056,2.8227155213413426,0.9696969696969697,1.0,30.893543160254918,0.7720331505843572,0.006493506493506494
cec2017_f19,19,30,1900.0,51,3.0395718412332826,6.437123922530191,6.906032181014062,12.942276210078035,11.43712392253019,5.0,median(final_error)+margin,5.0,50,1046.5,83.0,1.0,2.50086129601425,3.5207822789468084,0.9659154929577465,1.0,38.383814712424055,0.697059564082141,0.012195121951219513,50,1074.5,79.0,5.0,1.529553677465401,2.57344354990787,1.0,1.0,32.30934835009418,0.7101795164029616,0.01324561403508772,50,1087.5,77.0,8.5,1.2456670722044692,2.1307806684941855,1.0,1.0,28.079491194199278,0.7124445137153873,0.013793759512937594,50,1118.5,73.0,20.0,0.9174731553953279,1.5299688930517052,1.0,1.0,22.811207692125933,0.7206540197837372,0.014285714285714285
cec2017_f20,20,30,2000.0,51,23.1604064430187,38.13288082629879,37.01908755941708,62.15928986105973,43.13288082629879,5.0,median(final_error)+margin,5.0,46,1700.5,25.5,1.0,40.16944487243029,106.24497600612654,0.027879677182685254,0.06573275862068965,267.35378212863276,0.8850519338371812,0.039230769230769236,9,1878.0,19.0,5.0,13.445656663533555,16.627394161468693,0.2,0.3076923076923077,250.9689283451524,0.8833207971646796,0.05263157894736842,46,2203.0,10.0,1.0,18.586897738383072,26.648660068870097,0.1111111111111111,0.25462962962962965,256.6658148271707,0.8956435221344938,0.1,46,2321.0,8.0,2.0,11.173955254549355,15.384356482546629,0.2222222222222222,0.45,252.91294968287815,0.8820244985531907,0.125
cec2017_f21,21,30,2100.0,51,205.43274607840385,208.10581486951878,208.00924055906253,212.03114110668412,213.10581486951878,5.0,median(final_error)+margin,5.0,51,1321.0,51.0,1.0,9.365624922436155,12.606736195516351,0.1590909090909091,0.5357142857142857,78.27196841384747,0.9009021621847659,0.0196078431372549,50,1522.0,35.5,5.0,4.245041797104022,6.022345665197372,0.6357142857142857,1.0,74.13080501330086,0.9032693862272168,0.02817460317460317,51,1492.0,37.0,4.0,4.913086078527158,6.941711293816752,0.5185185185185185,1.0,74.64287892049245,0.9024358805713305,0.02702702702702703,51,1658.0,28.0,7.0,2.599934859053519,3.728333854104676,1.0,1.0,71.95405155337286,0.9025076993898813,0.03571428571428571
cec2017_f22,22,30,2200.0,51,100.00000000000045,100.00000000000045,100.00000000000043,100.00000000000091,105.00000000000045,5.0,median(final_error)+margin,5.0,51,113.0,440.0,1.0,5.397738817775462,7.767843806279507,0.4411764705882353,0.9682539682539683,1.9749669216833066,0.8623751953983801,1.0,51,116.0,438.0,6.0,3.7516133065510076,6.31705319378516,0.6682242990654206,0.993006993006993,1.8162730992141622,0.8492558981340692,1.0,51,121.0,434.0,53.0,1.962033900530514,4.208763539322628,0.8469656992084432,1.0,1.5485974997390688,0.8430648980504305,1.0,51,123.0,433.0,127.0,1.3397316701607451,3.3097550652889374,0.872852233676976,1.0,1.387217694067108,0.8427659818804106,1.0
cec2017_f23,23,30,2300.0,51,349.27716091795355,353.05415660921835,353.36337757230615,361.47145438364305,358.05415660921835,5.0,median(final_error)+margin,5.0,46,1373.0,46.0,1.0,11.721193844087907,14.80817533700597,0.0912442396313364,0.37286265857694434,71.75298358424241,0.8788246868811651,0.021749408983451537,31,1715.0,25.0,5.0,4.464834118560248,6.108343483651061,0.55,1.0,66.22622213747235,0.8930427280745917,0.04,46,1612.0,30.0,3.0,6.118883281693343,8.205209030538619,0.37797619047619047,1.0,67.16759035448815,0.88215677459183,0.03333333333333333,46,1950.0,16.0,4.0,3.4095954322499438,4.764466246718348,0.8452380952380952,1.0,65.2255477135744,0.893569897528247,0.0625
cec2017_f24,24,30,2400.0,51,424.8325634131652,427.95956225755845,427.90628354461734,430.94596472857256,432.95956225755845,5.0,median(final_error)+margin,5.0,51,1263.0,56.0,1.0,11.986133764527722,15.366295446108419,0.11538461538461539,0.3877551020408163,73.87097882535483,0.8977445252382092,0.017857142857142856,50,1549.5,33.5,5.0,5.18070665138805,6.753892661760301,0.46600877192982454,1.0,68.87864345398276,0.9095220510974633,0.029857397504456328,51,1485.0,38.0,4.0,6.086519040537269,8.161425338928984,0.4074074074074074,0.9714285714285714,69.86626361659643,0.9147255084368836,0.02631578947368421,51,1729.0,24.0,6.0,3.1006882991639486,4.563512780814927,0.8888888888888888,1.0,66.62418938867275,0.9172416645165495,0.041666666666666664
cec2017_f25,25,30,2500.0,51,386.6913085887368,386.7181656958469,386.72155822694805,386.7887843812555,391.7181656958469,5.0,median(final_error)+margin,5.0,51,75.0,471.0,1.0,4.286400799036983,5.988339652379454,0.6431623931623932,0.9850746268656716,17.66194023539835,0.8760375911927123,0.0021231422505307855,51,77.0,470.0,9.0,2.841035629607177,4.398067803972481,0.8720173535791758,1.0,16.018491752318177,0.876368950200766,0.002127659574468085,51,79.0,468.0,69.0,1.4092711285957193,2.4801077752915264,0.9896373056994818,1.0,13.837256295383417,0.8747264226368937,0.002136752136752137,51,80.0,467.0,157.0,0.9313965491660383,1.7645906424689202,1.0,1.0,13.008780920095072,0.8726675784957143,0.0021413276231263384
cec2017_f26,26,30,2600.0,51,908.7723349615981,969.7257206324248,971.6526894516021,1024.8539966987191,974.7257206324248,5.0,median(final_error)+margin,5.0,26,1410.0,43.5,1.0,98.56481827809034,119.96453015551161,0.0,0.0,47.49461338752874,0.9002470912844969,0.023064687168610817,9,1688.0,26.0,5.0,35.3897731650527,49.34369034128777,0.046511627906976744,0.09302325581395349,39.795793549448646,0.9091106525143402,0.038461538461538464,26,1829.0,20.0,2.0,48.46432330506093,61.62704703816294,0.0,0.0,45.39643500994285,0.9132776775424554,0.05,26,2321.0,8.0,2.0,26.745211776733868,34.27765146917227,0.0,0.020833333333333332,41.5792147952162,0.9232785148201572,0.125
cec2017_f27,27,30,2700.0,51,491.7826110437695,507.64365965046454,506.3628938613832,514.2715341348735,512.6436596504645,5.0,median(final_error)+margin,5.0,50,138.5,420.5,1.0,4.234251374939845,6.020726214949354,0.6759756787330318,0.9963942307692308,25.800369170123208,0.7466142018831385,0.002400963844309168,50,146.0,415.0,6.0,2.545642773784948,3.9584617185704705,0.9274744829438625,1.0,19.392253458479246,0.7277101102059853,0.0024420060826525133,50,150.5,411.5,47.0,1.4381469784967749,2.5546391949558718,0.9822131849315068,1.0,13.17375105835503,0.7583885218114595,0.007069972464025583,50,152.5,410.5,114.5,0.9480422331150749,1.9255749169405136,0.9912616261626163,1.0,12.70024829894597,0.7683596534281185,0.01561280926539175
cec2017_f28,28,30,2800.0,51,300.00000000000045,300.00000000000045,335.03400478513197,453.9302029392825,305.00000000000045,5.0,median(final_error)+margin,5.0,36,323.0,303.0,1.0,3.411346348488337,4.646021867667651,0.8430181240437802,1.0,6.8699923928691895,0.8254557125232767,0.23452029233400717,36,326.5,300.5,8.0,2.200157883455404,3.3198726638981952,0.9626409017713365,1.0,6.241919042212044,0.8390833225724416,0.4318026694979524,36,328.0,300.0,44.5,1.303007780400435,2.261048053427749,1.0,1.0,5.484325531377452,0.8478246394118873,0.6405177465260339,36,329.5,299.0,97.0,0.8700369406993786,1.7068209612235026,1.0,1.0,5.000588353278802,0.8512783228904607,0.8002073331770108
cec2017_f29,29,30,2900.0,51,428.78220545880686,439.50618911871925,439.757429426286,455.16680413260565,444.50618911871925,5.0,median(final_error)+margin,5.0,42,2048.0,14.0,1.0,18.58172535091694,22.141893908150227,0.04880952380952381,0.17708333333333331,129.7100588435348,0.8537086778882279,0.07142857142857142,7,2496.0,6.0,5.0,2.6142241554089196,3.5511051083796703,1.0,1.0,122.93595895901987,0.8410584062800215,0.16666666666666666,42,2203.0,10.0,1.0,11.772370452042082,14.869628932185606,0.14285714285714285,0.3333333333333333,127.8672040157607,0.8624388424131032,0.1,42,2487.0,6.5,2.0,7.559652709233433,9.159876833004319,0.3333333333333333,0.9166666666666667,128.71115884973875,0.8798635887317783,0.15476190476190477
cec2017_f30,30,30,3000.0,51,2001.191080320361,2039.4393850825209,2085.0904001863805,2595.6146803748034,2044.4393850825209,5.0,median(final_error)+margin,5.0,28,291.0,320.5,1.0,15.875880204347595,22.36627666307104,0.04037880548454567,0.1794294294294294,4.786158911871592,0.6343197302430708,0.8183773054337937,28,298.0,316.5,5.0,12.408995376257508,17.67021460805163,0.10978510269181263,0.35277524504217006,4.505820089572067,0.6548509529329605,0.8555879168066913,28,303.5,313.5,34.0,6.659183907730949,11.212715756930539,0.363125311321426,0.7397430031266682,3.85811587029964,0.7193775804045897,0.935596408202888,28,307.5,311.0,85.5,4.418719731525016,7.623800516140275,0.5556387544516482,0.9102547712537667,3.628042728996326,0.7105762074656653,0.9606143242839893
