run,K_1_tau,K_1_K_used,K_1_N,K_1_n_in,K_1_gap_med,K_1_gap_q80,K_1_gap_le_5,K_1_gap_le_10,K_1_r50,K_1_r80,K_1_tight,K_1_beta_r,K_5_tau,K_5_K_used,K_5_N,K_5_n_in,K_5_gap_med,K_5_gap_q80,K_5_gap_le_5,K_5_gap_le_10,K_5_r50,K_5_r80,K_5_tight,K_5_beta_r,K_10pctN_tau,K_10pctN_K_used,K_10pctN_N,K_10pctN_n_in,K_10pctN_gap_med,K_10pctN_gap_q80,K_10pctN_gap_le_5,K_10pctN_gap_le_10,K_10pctN_r50,K_10pctN_r80,K_10pctN_tight,K_10pctN_beta_r,K_25pctN_tau,K_25pctN_K_used,K_25pctN_N,K_25pctN_n_in,K_25pctN_gap_med,K_25pctN_gap_q80,K_25pctN_gap_le_5,K_25pctN_gap_le_10,K_25pctN_r50,K_25pctN_r80,K_25pctN_tight,K_25pctN_beta_r
0,2014.0,1.0,15.0,1.0,14.594644745832852,19.828115609811086,0.14285714285714285,0.42857142857142855,205.1348785873535,244.8039062348907,0.8379559041452773,0.06666666666666667,inf,,,,,,,,,,,,2027.0,2.0,14.0,2.0,14.594644745832852,19.249192221330897,0.08333333333333333,0.4166666666666667,198.1059597490285,236.74880779746104,0.8367770110103719,0.07142857142857142,2321.0,2.0,8.0,2.0,8.554314829185273,9.28323399993883,0.16666666666666666,1.0,205.53078838826417,233.2947705438187,0.8809918366758258,0.125
1,2495.0,1.0,6.0,1.0,9.941066038370991,13.473911608923528,0.2,0.6,189.84750566451385,228.95466059864168,0.829192579736637,0.16666666666666666,inf,,,,,,,,,,,,2495.0,1.0,6.0,1.0,9.941066038370991,13.473911608923528,0.2,0.6,189.84750566451385,228.95466059864168,0.829192579736637,0.16666666666666666,2675.0,1.0,4.0,1.0,5.569746328290648,8.16743148649498,0.3333333333333333,1.0,187.18572196035169,219.89023365882724,0.8512689210689613,0.25
2,1909.0,1.0,18.0,1.0,9.965429023017577,21.813070690312635,0.11764705882352941,0.5294117647058824,275.1982189587619,309.2468422580302,0.8898982345279416,0.05555555555555555,inf,,,,,,,,,,,,2203.0,1.0,10.0,1.0,6.6308614128945464,7.297329037409054,0.4444444444444444,1.0,256.3698283959175,309.1979711236836,0.8291446009953471,0.1,2453.0,2.0,7.0,2.0,4.245149916961736,4.739105567213301,0.8,1.0,284.4803503489988,309.22335577455283,0.9199833875304246,0.14285714285714285
3,1272.0,1.0,55.0,1.0,76.41805155528436,117.40953509152857,0.0,0.0,213.88967218126834,249.29837301295257,0.8579665787476096,0.01818181818181818,inf,,,,,,,,,,,,2203.0,1.0,10.0,1.0,11.664100989332155,13.134690890379943,0.1111111111111111,0.4444444444444444,205.87095932824232,234.88881191374162,0.8764613250453345,0.1,2675.0,1.0,4.0,1.0,5.412163543676797,6.155549603716873,0.3333333333333333,1.0,191.50595501604965,209.71627810611284,0.9131668592704613,0.25
4,1485.0,1.0,38.0,1.0,29.730804163167022,39.102840579388705,0.0,0.05405405405405406,224.62168636052866,256.8343600421255,0.8745780211171379,0.02631578947368421,inf,,,,,,,,,,,,1829.0,2.0,20.0,2.0,15.96854330740598,19.08640882392374,0.05555555555555555,0.2777777777777778,219.61151132900284,253.69258186601226,0.8656599641726641,0.05,2105.0,3.0,12.0,3.0,6.021151056714871,12.398243325582097,0.2222222222222222,0.5555555555555556,209.50840932115474,221.4589064266749,0.9460374057727186,0.08333333333333333
5,1695.0,1.0,26.0,1.0,17.938894296098624,24.71610659054573,0.0,0.08,214.80776069661374,234.55793957961507,0.9157982930852886,0.038461538461538464,inf,,,,,,,,,,,,2203.0,1.0,10.0,1.0,7.95346453997854,9.062586730794829,0.3333333333333333,1.0,199.06252572547993,236.26744568520888,0.8425304855189447,0.1,2675.0,1.0,4.0,1.0,1.818299475359936,2.6305614453576256,1.0,1.0,210.78801237990876,229.3796540639963,0.9189481658259868,0.25
6,2209.0,1.0,10.0,1.0,25.435797593665256,29.037541782053907,0.1111111111111111,0.1111111111111111,253.27625976646132,273.39243256839615,0.9264201550388479,0.1,inf,,,,,,,,,,,,2209.0,1.0,10.0,1.0,25.435797593665256,29.037541782053907,0.1111111111111111,0.1111111111111111,253.27625976646132,273.39243256839615,0.9264201550388479,0.1,2529.0,2.0,6.0,2.0,18.332591889544574,22.141783090594075,0.0,0.25,258.3694778183993,269.7879596726417,0.9576760880355909,0.16666666666666666
7,inf,,,,,,,,,,,,inf,,,,,,,,,,,,inf,,,,,,,,,,,,inf,,,,,,,,,,,
8,1438.0,1.0,41.0,1.0,30.64937454283995,51.37937429869595,0.025,0.025,221.38709818823213,239.18474797891548,0.9255903650167014,0.024390243902439025,inf,,,,,,,,,,,,1829.0,2.0,20.0,2.0,11.798576518592085,14.664924902475699,0.05555555555555555,0.3888888888888889,226.03878953227638,252.6447797136516,0.8946901249591204,0.05,2105.0,3.0,12.0,3.0,6.122432606606253,9.59798718184852,0.2222222222222222,0.8888888888888888,233.18403088651024,266.1989685770039,0.8759764627677611,0.08333333333333333
9,inf,,,,,,,,,,,,inf,,,,,,,,,,,,inf,,,,,,,,,,,,inf,,,,,,,,,,,
