run,K_1_tau,K_1_K_used,K_1_N,K_1_n_in,K_1_f_best_tau,K_1_err_best_tau,K_1_depth_into_Ain,K_1_gap_med,K_1_gap_q80,K_1_gap_le_5,K_1_gap_le_10,K_1_r50,K_1_r80,K_1_tight,K_1_beta_r,K_5_tau,K_5_K_used,K_5_N,K_5_n_in,K_5_f_best_tau,K_5_err_best_tau,K_5_depth_into_Ain,K_5_gap_med,K_5_gap_q80,K_5_gap_le_5,K_5_gap_le_10,K_5_r50,K_5_r80,K_5_tight,K_5_beta_r,K_10pctN_tau,K_10pctN_K_used,K_10pctN_N,K_10pctN_n_in,K_10pctN_f_best_tau,K_10pctN_err_best_tau,K_10pctN_depth_into_Ain,K_10pctN_gap_med,K_10pctN_gap_q80,K_10pctN_gap_le_5,K_10pctN_gap_le_10,K_10pctN_r50,K_10pctN_r80,K_10pctN_tight,K_10pctN_beta_r,K_25pctN_tau,K_25pctN_K_used,K_25pctN_N,K_25pctN_n_in,K_25pctN_f_best_tau,K_25pctN_err_best_tau,K_25pctN_depth_into_Ain,K_25pctN_gap_med,K_25pctN_gap_q80,K_25pctN_gap_le_5,K_25pctN_gap_le_10,K_25pctN_r50,K_25pctN_r80,K_25pctN_tight,K_25pctN_beta_r
0,102,1,150,4,303.9166998380531,3.9166998380530913,1.0833001619469087,11.226516951918512,19.850298530665214,0.1506849315068493,0.4315068493150685,4.0304927531223225,5.2181671568804155,0.7723962517773919,0.7533333333333333,103,5,150,7,303.54797412449517,3.5479741244951697,1.4520258755048303,9.537954940149689,17.631874161350755,0.20279720279720279,0.5244755244755245,3.7660060632979335,4.744331709445418,0.793790631418172,0.8333333333333334,106,15,149,20,301.3610663319506,1.3610663319506102,3.63893366804939,5.133215904095323,9.570651260040552,0.4883720930232558,0.8294573643410853,2.8767824569714597,3.506394776005383,0.8204388383925209,1.0,109,37,148,51,300.66991630799737,0.6699163079973687,4.330083692002631,2.742603028053338,5.4374270259234025,0.7835051546391752,0.9484536082474226,2.270406317160658,2.8686769982323286,0.7914471788074003,1.0
1,92,1,153,1,303.632872592438,3.632872592437991,1.367127407562009,23.067374211561003,32.1383311570343,0.03289473684210526,0.13815789473684212,4.866739084520852,5.767184381938008,0.8438674337797797,0.5555555555555556,98,5,151,8,302.185858068086,2.18585806808602,2.81414193191398,8.050881387198046,13.382846893144885,0.2867132867132867,0.6573426573426573,3.3172522310411012,4.086795683590262,0.8117000427403029,0.9470198675496688,100,16,151,16,302.185858068086,2.18585806808602,2.81414193191398,5.354364886129474,10.195204614367878,0.4740740740740741,0.7925925925925926,3.058805264289996,3.7266705366708526,0.8207876800997062,0.9801324503311258,102,38,150,42,301.30904283288277,1.309042832882767,3.690957167117233,3.4582041860850836,7.035419472112723,0.6574074074074074,0.9166666666666666,2.536847552480081,3.1864624811306532,0.7961328801147318,1.0
2,114,1,147,2,303.6924752311668,3.6924752311667817,1.3075247688332183,14.355367216332183,25.86297875660305,0.14482758620689656,0.31724137931034485,3.995651174559957,4.977451250687879,0.8027504385919927,0.8027210884353742,116,5,146,5,303.2699191212827,3.269919121282726,1.7300808787172741,9.229656778802962,18.610863472509322,0.20567375886524822,0.5460992907801419,3.619473552576398,4.58162527002337,0.7899977277185605,0.8835616438356164,120,15,145,23,303.15813866363914,3.1581386636391358,1.8418613363608642,4.085045078701455,8.015046581758748,0.5901639344262295,0.8934426229508197,3.05543574873291,3.581286726258141,0.8531670269041375,0.9862068965517241,121,37,145,37,303.15813866363914,3.1581386636391358,1.8418613363608642,3.2450379433526564,7.042612788693487,0.6481481481481481,0.9166666666666666,2.9200083167201782,3.4257488597249846,0.8523708060008209,0.993103448275862
3,96,1,152,2,303.64525455904203,3.64525455904203,1.35474544095797,20.121935826310732,35.987537950454545,0.03333333333333333,0.13333333333333333,4.794487576161904,5.6559045373131935,0.8476959864742518,0.5526315789473685,101,5,150,5,303.64525455904203,3.64525455904203,1.35474544095797,10.45228082275844,16.813840127670563,0.23448275862068965,0.4896551724137931,3.762973836120397,4.460885020032691,0.8435487171764898,0.88,106,15,149,15,301.43744773382105,1.4374477338210454,3.5625522661789546,3.4569711101416942,6.264189985914436,0.6417910447761194,0.9104477611940298,2.7284009791210555,3.3839620607852674,0.8062741041747716,1.0,108,38,149,43,301.43744773382105,1.4374477338210454,3.5625522661789546,2.522329829493401,5.07630692065635,0.7924528301886793,0.9622641509433962,2.4643881654256665,2.9971874474244027,0.8222335801998,1.0
4,124,1,144,1,304.49500058303306,4.495000583033061,0.504999416966939,22.708421601605096,34.623303415608966,0.027972027972027972,0.11188811188811189,5.268774509037078,6.33290772631911,0.8319676737338882,0.3888888888888889,130,5,143,6,301.9078991471756,1.9078991471756126,3.0921008528243874,8.306499799259882,13.925102648016425,0.30656934306569344,0.6058394160583942,3.421058629444318,4.243482273842162,0.8061913326544429,0.958041958041958,133,15,142,21,301.9078991471756,1.9078991471756126,3.0921008528243874,4.331603559441476,8.919485655389167,0.5537190082644629,0.8760330578512396,2.9908863791059033,3.606765473885016,0.8292433763053297,0.9929577464788732,135,36,142,46,301.7978620352221,1.7978620352221242,3.202137964777876,2.7973019339120526,5.782695553359247,0.7604166666666666,0.96875,2.47838998962896,3.0118964263309183,0.8228669379073325,1.0
5,111,1,148,1,304.90985332373384,4.9098533237338415,0.09014667626615847,11.591195470418654,20.050763551962373,0.14285714285714285,0.40816326530612246,4.0864383189625295,5.033961740414963,0.8117738134866463,0.7905405405405406,113,5,147,6,302.772442850105,2.7724428501049942,2.2275571498950058,9.25636667030085,15.786004885086697,0.19858156028368795,0.574468085106383,3.38570621233058,4.360608117227997,0.7764298284347656,0.9319727891156463,115,15,147,15,302.46033003147096,2.46033003147096,2.53966996852904,7.021894593604259,10.92460641081808,0.3712121212121212,0.7727272727272727,3.0467684649804982,3.853415179273153,0.7906670636915881,0.9863945578231292,118,37,146,45,301.6120228719984,1.6120228719984198,3.3879771280015802,3.1466082723608793,6.655039943074428,0.693069306930693,0.9603960396039604,2.6072586645384543,3.2231107672586967,0.8089261749933485,1.0
6,108,1,149,1,304.60512854144775,4.605128541447755,0.39487145855224526,18.530771864130003,30.54558090973979,0.05405405405405406,0.17567567567567569,4.661253833206983,5.58752616910826,0.8342249668516353,0.5906040268456376,113,5,147,11,301.67751275808627,1.6775127580862659,3.322487241913734,7.7018336324143775,12.797834508101005,0.375,0.6764705882352942,3.2296991872438814,3.9624295347923217,0.8150805355364271,0.9659863945578231,115,15,147,20,301.67751275808627,1.6775127580862659,3.322487241913734,4.472481110762203,8.190396995947232,0.5984251968503937,0.8503937007874016,2.8392039890911653,3.4620196061199526,0.8201004939637514,0.9863945578231292,117,37,146,39,301.4651845950953,1.4651845950953089,3.534815404904691,2.3814464835434705,5.914222818590872,0.7476635514018691,0.9719626168224299,2.4688184439555236,3.044523677864767,0.8109046620018387,1.0
7,115,1,147,2,302.90943832299513,2.909438322995129,2.090561677004871,11.194478104096163,18.169627427792115,0.20689655172413793,0.4413793103448276,3.9685955387618947,4.6108152466823356,0.8607144998094332,0.8979591836734694,118,5,146,6,302.4727672631383,2.47276726313828,2.52723273686172,5.770494818195942,12.925668984204698,0.44285714285714284,0.7071428571428572,3.326740120209121,4.005974419975468,0.8304446737404513,0.958904109589041,119,15,146,15,301.60223723705553,1.6022372370555331,3.397762762944467,4.781553478756905,9.512018114938599,0.5419847328244275,0.8015267175572519,2.912580344389747,3.654897792779231,0.7968978914113447,0.9657534246575342,122,37,145,46,301.60223723705553,1.6022372370555331,3.397762762944467,2.3413122343540635,5.573520398906465,0.7575757575757576,0.9595959595959596,2.461136699777413,2.9369161029947075,0.8380003423549781,1.0
8,112,1,148,1,304.5588576809689,4.558857680968913,0.441142319031087,19.42610236507636,33.03063567566191,0.027210884353741496,0.1564625850340136,5.095105133942257,6.172900381568719,0.8253988917681898,0.4797297297297297,117,5,146,5,303.36369804066214,3.3636980406621433,1.6363019593378567,8.910437730968113,15.736296783050705,0.22695035460992907,0.524822695035461,3.436477633189524,4.256851995934415,0.8072814456484734,0.9383561643835616,120,15,145,17,302.7359219519553,2.7359219519552767,2.2640780480447233,4.9073257812128475,9.025714148791291,0.5,0.828125,3.078669670898436,3.6393791432102356,0.8459326576738012,0.9793103448275862,122,37,145,37,301.3739670055591,1.3739670055591091,3.626032994440891,2.523950497203316,5.6383487494690945,0.7685185185185185,0.9629629629629629,2.4728567798400585,3.035652327475492,0.8146047416097003,1.0
9,110,1,148,1,303.2354803174509,3.235480317450879,1.7645196825491212,12.715192167600037,23.76489880111464,0.10204081632653061,0.4013605442176871,4.13794152189337,5.029066081939987,0.8228051599387891,0.7972972972972973,114,5,147,8,302.4257360382759,2.425736038275886,2.574263961724114,7.176507341400395,12.4575390268568,0.302158273381295,0.6834532374100719,3.2361346776865925,4.012198150640931,0.8065739916583217,0.9387755102040817,117,15,146,20,302.4257360382759,2.425736038275886,2.574263961724114,4.256402671837492,6.671419465165741,0.6349206349206349,0.8888888888888888,2.861751448986216,3.3269220502005044,0.8601798917452083,0.9931506849315068,119,37,146,45,302.1908067691468,2.190806769146775,2.809193230853225,2.780904146756143,4.994507910857465,0.801980198019802,0.9702970297029703,2.5317546400924975,3.0373382917946685,0.8335438455874346,1.0
