run,tau,tau_out,hit,hit_out,n_at_risk,G2G3_rate,G4_rate,G5_rate,Ghat_rate,gamma0_mean,any_G4,any_Ghat,any_gamma0_pos,tau_G2G3_first,tau_G4_first,tau_G5_first,tau_Ghat_first,tau_G2G3_stable,tau_G4_stable,tau_G5_stable,tau_Ghat_stable,T_conc_5,T_conc_10,T_conc_20,delta_5,delta_10,delta_20,phase1_duration,phase2_duration,phase_ratio,Twit
0,inf,inf,False,False,2164,0.966728280961183,0.0,1.0,0.0,0.0,False,False,False,71.0,inf,0.0,inf,76.0,inf,0.0,inf,76.0,76.0,76.0,,,,,,,inf
1,inf,inf,False,False,2164,0.9459334565619224,0.0,1.0,0.0,0.0,False,False,False,117.0,inf,0.0,inf,117.0,inf,0.0,inf,117.0,117.0,117.0,,,,,,,inf
2,inf,inf,False,False,2164,0.9339186691312384,0.0,1.0,0.0,0.0,False,False,False,143.0,inf,0.0,inf,143.0,inf,0.0,inf,143.0,143.0,143.0,,,,,,,inf
3,inf,inf,False,False,2164,0.9431608133086876,0.0,1.0,0.0,0.0,False,False,False,123.0,inf,0.0,inf,123.0,inf,0.0,inf,123.0,123.0,123.0,,,,,,,inf
4,inf,inf,False,False,2164,0.9371534195933456,0.0,1.0,0.0,0.0,False,False,False,136.0,inf,0.0,inf,136.0,inf,0.0,inf,136.0,136.0,136.0,,,,,,,inf
5,inf,inf,False,False,2164,0.9417744916820703,0.0,1.0,0.0,0.0,False,False,False,126.0,inf,0.0,inf,126.0,inf,0.0,inf,126.0,126.0,126.0,,,,,,,inf
6,inf,inf,False,False,2164,0.9422365988909427,0.0,1.0,0.0,0.0,False,False,False,125.0,inf,0.0,inf,125.0,inf,0.0,inf,125.0,125.0,125.0,,,,,,,inf
7,inf,inf,False,False,2164,0.9459334565619224,0.0,1.0,0.0,0.0,False,False,False,117.0,inf,0.0,inf,117.0,inf,0.0,inf,117.0,117.0,117.0,,,,,,,inf
8,inf,inf,False,False,2164,0.9329944547134935,0.0,1.0,0.0,0.0,False,False,False,145.0,inf,0.0,inf,145.0,inf,0.0,inf,145.0,145.0,145.0,,,,,,,inf
9,inf,inf,False,False,2164,0.9390018484288355,0.0,1.0,0.0,0.0,False,False,False,132.0,inf,0.0,inf,132.0,inf,0.0,inf,132.0,132.0,132.0,,,,,,,inf
