eps,n_hits,tau_first,tau_median,tau_max,p_hat,clustering
0.01,14,631,808.0,1938,0.00016389220575495773,1.1933346828037392
1.0,50,535,654.0,855,0.0014629721742692454,1.644878414959598
10.0,50,238,368.0,578,0.0025329280648429585,1.0580062205061735
100.0,51,35,61.0,69,0.016536964980544747,2.812478373619275
400.0,51,8,29.0,37,0.038202247191011236,1.1989888724630147
