eps,g2g3_r0.5,g2g3_r1.0,g2g3_r2.0,g2g3_r5.0,g2g3_r10.0,g2g3_r20.0
0.01,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.16,0.32,0.58,0.76,0.76,1.0
10.0,0.0,0.0,0.0,0.1,0.26,0.52
100.0,0.0,0.0,0.0,0.0,0.0,0.0
400.0,0.0,0.0,0.0,0.0,0.0,0.0
