eps,beta1_r0.5,beta1_r1.0,beta1_r2.0,beta1_r5.0,beta1_r10.0,beta1_r20.0
0.01,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.017857142857142856,0.03508771929824561,0.09147869674185463,0.1296641791044776,0.1296641791044776,0.4913793103448276
10.0,0.010695493022191718,0.010695493022191718,0.010695493022191718,0.012049941927990708,0.023809523809523808,0.0577403534745998
100.0,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.006211180124223602
400.0,0.005847953216374269,0.005847953216374269,0.005847953216374269,0.005847953216374269,0.005847953216374269,0.005847953216374269
