function,dim,runs,N_init,N_min,best_mean,best_median,best_std,best_min,best_max,error_mean,error_median,final_pop_mean,final_pop_min,final_pop_max,wall_fn
cec2017_f12,50,51,900.0,4,3564.5101448714668,3417.9219999204965,789.0748222469227,2230.0152997663263,6204.014261152278,2364.5101448714663,2217.9219999204965,4.0,4,4,2121.276417709887
cec2017_f13,50,51,900.0,4,1368.7235194205919,1355.8082315349527,32.44833831820789,1324.736936158885,1452.96785595197,68.72351942059198,55.80823153495271,4.0,4,4,2476.4915575217456
cec2017_f14,50,51,900.0,4,1437.3347162738437,1435.041662721738,6.522466330895174,1428.9307821204854,1461.4137093018708,37.33471627384371,35.04166272173802,4.0,4,4,2509.463062032126
cec2017_f15,50,51,900.0,4,1546.7028706703313,1544.8953984092784,11.823903441460452,1529.9838960131344,1593.949938387541,46.70287067033139,44.895398409278414,4.0,4,4,2290.284761287272
cec2017_f16,50,51,900.0,4,1955.809897735202,1982.0195096716527,109.51518679294466,1744.659864636596,2182.3053214573006,355.809897735202,382.0195096716527,4.0,4,4,2514.743354231119
cec2017_f17,50,51,900.0,4,1907.7896345663414,1928.5982875144148,68.98674756070737,1776.859061051358,2119.074805785177,207.78963456634162,228.59828751441478,4.0,4,4,2681.6471536820754
cec2017_f18,50,51,900.0,4,1850.7296361209962,1850.1597209139793,17.351196883990568,1827.2562644421414,1893.9239906642943,50.72963612099619,50.1597209139793,4.0,4,4,2566.3584337029606
cec2017_f19,50,51,900.0,4,1942.2115538926098,1940.7568790521202,15.542333378584134,1920.4373749830822,1997.1859729967682,42.211553892610134,40.75687905212021,4.0,4,4,2655.1527869552374
cec2017_f20,50,51,900.0,4,2184.486529061258,2163.759916155751,60.8284602373113,2099.5989444575484,2377.473488542353,184.48652906125764,163.75991615575094,4.0,4,4,2715.0971978753805
cec2017_f21,50,51,900.0,4,2313.788455999719,2313.992061096809,2.453308091893841,2307.811947619644,2318.154423991971,213.78845599971916,213.9920610968088,4.0,4,4,2644.1208147229627
cec2017_f22,50,51,900.0,4,4848.467764753533,5723.62828449074,1537.4115908539052,2300.000000000001,6602.252264880777,2648.4677647535327,3523.62828449074,4.0,4,4,2660.754261436872
cec2017_f23,50,51,900.0,4,2731.186036626703,2730.3899730741746,4.3221167858488005,2722.129994828002,2741.3500910984762,431.18603662670307,430.3899730741746,4.0,4,4,2769.0373954363167
cec2017_f24,50,51,900.0,4,2910.1870815477496,2909.839685893664,2.6200362330002656,2905.037504221938,2918.1692027703452,510.187081547749,509.83968589366395,4.0,4,4,2786.6102444250137
cec2017_f25,50,51,900.0,4,2982.0706643384315,2980.294082088434,4.256069256845256,2977.3681125491685,2992.106355751286,482.0706643384315,480.29408208843415,4.0,4,4,2857.3154799891636
cec2017_f26,50,51,900.0,4,3790.52155340422,3792.041392689621,42.43779263183841,3697.7311666983387,3875.45255270038,1190.5215534042197,1192.0413926896208,4.0,4,4,2896.675049203448
cec2017_f27,50,51,900.0,4,3237.217862596271,3234.8230297518485,13.141939682899082,3210.842302100336,3286.5874888041317,537.2178625962712,534.8230297518485,4.0,4,4,3030.688875150867
cec2017_f28,50,51,900.0,4,3271.6089933287017,3258.8486762140665,20.83635360311628,3258.848676214066,3307.694636232094,471.608993328702,458.8486762140665,4.0,4,4,2787.5840573180467
cec2017_f29,50,51,900.0,4,3250.1217573492627,3250.2981634622856,9.748738789169494,3233.079746742605,3273.5933324129837,350.1217573492625,350.29816346228563,4.0,4,4,3630.8249928811565
cec2017_f30,50,51,900.0,4,699410.8263197714,681570.853042041,101898.89849916108,586445.9577953969,1018343.236073388,696410.8263197714,678570.853042041,4.0,4,4,3572.864090905525
