eps,beta1_r0.5,beta1_r1.0,beta1_r2.0,beta1_r5.0,beta1_r10.0,beta1_r20.0
0.01,0.06458333333333333,0.07692307692307693,0.3011627906976744,1.0,1.0,1.0
1.0,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.011764705882352941,0.011904761904761904,0.045454545454545456
10.0,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.006622516556291391
100.0,0.006172839506172839,0.006172839506172839,0.006172839506172839,0.006172839506172839,0.006172839506172839,0.006172839506172839
400.0,0.006060606060606061,0.006060606060606061,0.006060606060606061,0.006060606060606061,0.006060606060606061,0.006060606060606061
