function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,50,100.0,51,51,1.0,188.0,365.0,386.0
cec2017_f11,50,100.0,51,51,1.0,185.0,226.0,346.0
cec2017_f22,50,100.0,51,0,0.0,,,
cec2017_f3,50,100.0,51,51,1.0,170.0,190.0,222.0
