function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,50,0.01,51,51,1.0,454.0,480.0,501.0
cec2017_f11,50,0.01,51,0,0.0,,,
cec2017_f22,50,0.01,51,0,0.0,,,
cec2017_f3,50,0.01,51,51,1.0,279.0,299.0,340.0
