function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,50,10.0,51,51,1.0,364.0,395.0,412.0
cec2017_f11,50,10.0,51,0,0.0,,,
cec2017_f22,50,10.0,51,0,0.0,,,
cec2017_f3,50,10.0,51,51,1.0,197.0,216.0,249.0
