function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,50,400.0,51,51,1.0,174,346,366
cec2017_f11,50,400.0,51,51,1.0,84,94,105
cec2017_f22,50,400.0,51,12,0.23529411764705882,242,1509,2241
cec2017_f3,50,400.0,51,51,1.0,152,173,207
