function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,50,1.0,51,51,1.0,393.0,424.0,441.0
cec2017_f11,50,1.0,51,0,0.0,,,
cec2017_f22,50,1.0,51,0,0.0,,,
cec2017_f3,50,1.0,51,51,1.0,223.0,243.0,277.0
