function,dim,runs,N_init,N_min,best_mean,best_median,best_std,best_min,best_max,error_mean,error_median,final_pop_mean,final_pop_min,final_pop_max,wall_total
cec2017_f7,10,51,180.0,4,710.7199899211689,710.6588888556053,0.2907561685297485,710.3669207724204,711.4880004255729,10.719989921168803,10.658888855605255,4.0,4,4,6568.732547817752
cec2017_f10,10,51,180.0,4,1001.2509551145503,1000.190489233265,2.4649476016197527,1000.0001272756626,1011.89210689644,1.250955114550201,0.1904892332649979,4.0,4,4,6568.732547817752
cec2017_f21,10,51,180.0,4,2234.496638982374,2200.0000000000005,48.7798009305464,2200.0,2304.7942640119245,134.4966389823742,100.00000000000045,4.0,4,4,6568.732547817752
cec2017_f22,10,51,180.0,4,2298.863446997475,2300.0,8.036643352632884,2242.03579687123,2300.0000000000005,98.86344699747512,100.0,4.0,4,4,6568.732547817752
cec2017_f23,10,51,180.0,4,2602.383379518901,2602.88163600907,1.4513088065099902,2600.0,2604.3439154205803,302.38337951890173,302.88163600907,4.0,4,4,6568.732547817752
cec2017_f24,10,51,180.0,4,2663.8706307456596,2731.2334705903586,111.20700223712366,2400.0000000000005,2734.7082443854447,263.8706307456594,331.2334705903586,4.0,4,4,6568.732547817752
cec2017_f25,10,51,180.0,4,2907.024300393937,2898.0089894405774,18.299566164017765,2897.7428694699875,2945.7775562610896,407.0243003939376,398.00898944057735,4.0,4,4,6568.732547817752
cec2017_f26,10,51,180.0,4,2900.0,2900.0,0.0,2900.0,2900.0,300.0,300.0,4.0,4,4,6568.732547817752
cec2017_f27,10,51,180.0,4,3089.2666996535463,3089.51790623097,0.2561814480444026,3089.005444813027,3089.51790623097,389.26669965354694,389.51790623096986,4.0,4,4,6568.732547817752
cec2017_f28,10,51,180.0,4,3178.5044511645465,3100.0,130.1142219239001,3100.0,3411.82166588004,378.50445116454694,300.0,4.0,4,4,6568.732547817752
cec2017_f29,10,51,180.0,4,3132.5061225652867,3132.2328668222995,2.179726070699376,3128.9650824449145,3137.604270209756,232.50612256528703,232.23286682229946,4.0,4,4,6568.732547817752
cec2017_f30,10,51,180.0,4,19430.562971837906,3394.0074138290847,113307.77480141037,3394.0074138290847,820637.5067989303,16430.562971837906,394.0074138290847,4.0,4,4,6568.732547817752
