function,hits,gamma_mean,l2_mean,l3_mean,a_t,p_hat,gap_factor
cec2017_f1,51/51,0.967,0.967,1.000,7.24e-13,6.23e-02,8.9e+10
cec2017_f2,51/51,0.996,0.996,1.000,7.24e-13,4.26e-02,5.9e+10
cec2017_f3,51/51,0.945,0.945,1.000,7.24e-13,5.99e-02,8.8e+10
cec2017_f6,51/51,1.000,1.000,1.000,7.24e-13,9.27e-02,1.3e+11
cec2017_f9,51/51,1.000,1.000,1.000,7.24e-13,2.41e-01,3.3e+11
