function,hits,gamma_mean,l2_mean,l3_mean,a_t,p_hat,gap_factor
cec2017_f1,51/51,0.957,0.957,1.000,7.24e-13,7.19e-02,1.0e+11
cec2017_f2,51/51,0.995,0.995,1.000,7.24e-13,4.16e-02,5.8e+10
cec2017_f3,51/51,0.916,0.916,1.000,7.24e-13,6.75e-02,1.0e+11
cec2017_f4,29/51,0.992,0.992,1.000,7.24e-13,2.70e-02,3.8e+10
cec2017_f5,51/51,0.210,0.398,0.447,7.24e-13,4.58e-02,3.0e+11
cec2017_f6,51/51,0.997,0.997,1.000,7.24e-13,1.48e-01,2.1e+11
cec2017_f7,51/51,0.150,0.598,0.297,7.24e-13,4.34e-02,4.0e+11
cec2017_f8,51/51,0.208,0.356,0.443,7.24e-13,4.62e-02,3.1e+11
cec2017_f9,51/51,1.000,1.000,1.000,7.24e-13,1.85e-01,2.6e+11
cec2017_f11,51/51,0.950,0.950,1.000,7.24e-13,4.86e-02,7.1e+10
cec2017_f13,40/51,0.889,0.889,1.000,7.24e-13,3.17e-02,4.9e+10
cec2017_f14,51/51,0.722,0.722,1.000,7.24e-13,4.44e-02,8.5e+10
cec2017_f15,51/51,0.998,0.998,1.000,7.24e-13,4.27e-02,5.9e+10
cec2017_f17,6/51,0.105,0.495,0.164,7.24e-13,2.06e-02,2.7e+11
cec2017_f18,51/51,0.991,0.991,1.000,7.24e-13,4.76e-02,6.6e+10
cec2017_f19,51/51,1.000,1.000,1.000,7.24e-13,5.53e-02,7.6e+10
cec2017_f20,1/51,0.076,0.421,0.149,7.24e-13,1.96e-02,3.6e+11
