function,hits,gamma_mean,l2_mean,l3_mean,a_t,p_hat,gap_factor
cec2017_f1,51/51,0.960,0.960,1.000,7.24e-13,7.34e-02,1.1e+11
cec2017_f2,51/51,0.995,0.996,1.000,7.24e-13,4.41e-02,6.1e+10
cec2017_f3,51/51,0.925,0.925,1.000,7.24e-13,6.18e-02,9.2e+10
cec2017_f4,8/51,0.988,0.988,1.000,7.24e-13,2.11e-02,2.9e+10
cec2017_f5,11/51,0.065,0.565,0.139,7.24e-13,2.17e-02,4.6e+11
cec2017_f6,51/51,1.000,1.000,1.000,7.24e-13,1.76e-01,2.4e+11
cec2017_f8,11/51,0.064,0.559,0.137,7.24e-13,2.17e-02,4.7e+11
cec2017_f9,51/51,1.000,1.000,1.000,7.24e-13,2.58e-01,3.6e+11
