function,hits,gamma_mean,l2_mean,l3_mean,a_t,p_hat,gap_factor
cec2017_f1,51/51,0.963,0.963,1.000,7.24e-13,6.21e-02,8.9e+10
cec2017_f2,51/51,0.995,0.996,1.000,7.24e-13,4.02e-02,5.6e+10
cec2017_f3,51/51,0.933,0.933,1.000,7.24e-13,5.50e-02,8.1e+10
cec2017_f6,51/51,1.000,1.000,1.000,7.24e-13,1.90e-01,2.6e+11
cec2017_f9,51/51,1.000,1.000,1.000,7.24e-13,2.02e-01,2.8e+11
